Request_ID,Create_Date,Request_Type_ID,Request_Type,Department,Street_ID,Longitude,Latitude,Ward_Precinct
59225,2/13/19 16:37,341,Trash - Bag Request,Highway,647,-71.0840165,42.751749,7_3
52598,11/20/18 17:53,341,Trash - Bag Request,Highway,305,-71.0865699,42.7674729,2_1
86005,1/21/20 15:10,341,Trash - Bag Request,Highway,630,-71.0556035,42.748844399999996,7_3
25958,1/19/18 16:42,341,Trash - Bag Request,Highway,559,-71.0778835,42.7895271,3_3
61378,3/7/19 16:35,342,Trash - Barrel Overflow,Highway,1061,-71.0818135,42.7776458,3_1
59586,2/19/19 18:28,342,Trash - Barrel Overflow,Highway,1438,-71.0425695,42.7611656,4_3
43241,8/20/18 14:47,342,Trash - Barrel Overflow,Highway,328,-71.1033752,42.7805435,1_3
44323,9/4/18 12:47,342,Trash - Barrel Overflow,Highway,1036,-71.09255859999999,42.770779100000006,2_3
45769,9/7/18 17:33,342,Trash - Barrel Overflow,Highway,471,-71.0823353,42.7747652,1_2
53866,12/7/18 14:06,342,Trash - Barrel Overflow,Highway,684,-71.043091,42.7609031,4_3
79752,11/5/19 13:35,342,Trash - Barrel Overflow,Highway,1438,-71.0425695,42.7611656,4_3
83913,1/6/20 13:09,342,Trash - Barrel Overflow,Highway,1438,-71.0425695,42.7611656,4_3
81864,12/5/19 16:11,342,Trash - Barrel Overflow,Highway,1438,-71.0425695,42.7611656,4_3
83082,12/23/19 14:24,342,Trash - Barrel Overflow,Highway,1438,-71.0425695,42.7611656,4_3
68619,5/24/19 12:54,342,Trash - Barrel Overflow,Highway,1130,-71.072976,42.789537,3_3
70639,6/18/19 16:06,342,Trash - Barrel Overflow,Highway,838,-71.07916643,42.78353626,3_3
65262,4/16/19 17:04,342,Trash - Barrel Overflow,Highway,1130,-71.072976,42.789537,3_3
19052,9/17/17 23:37,342,Trash - Barrel Overflow,Highway,1094,-71.091187,42.7705,2_3
17000,8/4/17 12:56,342,Trash - Barrel Overflow,Highway,709,-71.07781870000001,42.777007899999994,3_1
23121,11/30/17 15:25,342,Trash - Barrel Overflow,Highway,684,-71.04512390000001,42.761409,4_3
19769,10/2/17 12:12,342,Trash - Barrel Overflow,Highway,802,-71.088598,42.774294,1_1
