,Request ID,Create Date,Master Request,Has Links,Status,Status Code,Last Action,Last Change,Close Date,Work Order Created,Request Type ID,Request Type,Request Type Private,Request Type Info,Department ID,Department,Address Number,Street ID,Street,Address,Complete Address,City ID,City,Cross Street ID,Cross Street,District ID,District,Escalations,Priority,Longitude,Latitude,Origin ID,Origin
0,5130,1/3/2017 13:11,0,False,Closed,1,1/3/2017 14:05,1/3/2017 14:05,1/3/2017 14:05,False,330,Traffic/Street Lights - Street Light Repair - National Grid-Owned,False,,11,Highway,,629,JUSTIN ST,JUSTIN ST,"JUSTIN ST, Haverhill, MA",1,Haverhill,0,,0,,0,2,-71.1059022,42.7675521,1,Call Center
1,5131,1/3/2017 13:29,0,False,Closed,1,1/3/2017 13:29,1/3/2017 13:29,1/3/2017 13:29,False,901,A - Information Other,False,,8,311 Call Center,,0,,,", Haverhill, MA",1,Haverhill,0,,0,,0,2,0.0,0.0,1,Call Center
2,5132,1/3/2017 13:33,0,False,Closed,1,1/3/2017 13:33,1/3/2017 13:33,1/3/2017 13:33,False,901,A - Information Other,False,,8,311 Call Center,,0,,,", Haverhill, MA",1,Haverhill,0,,0,,0,2,0.0,0.0,1,Call Center
3,5133,1/3/2017 13:47,0,False,Closed,1,1/3/2017 13:47,1/3/2017 13:47,1/3/2017 13:47,False,901,A - Information Other,False,,8,311 Call Center,,0,,,", Haverhill, MA",1,Haverhill,0,,0,,0,2,0.0,0.0,1,Call Center
4,5134,1/3/2017 13:47,0,False,Closed,1,1/3/2017 13:47,1/3/2017 13:47,1/3/2017 13:47,False,901,A - Information Other,False,,8,311 Call Center,,0,,,", Haverhill, MA",1,Haverhill,0,,0,,0,2,0.0,0.0,1,Call Center
5,5135,1/3/2017 13:53,0,False,Closed,1,1/3/2017 13:53,1/3/2017 13:53,1/3/2017 13:53,False,902,A - Transfer Other,False,,8,311 Call Center,,0,,,", Haverhill, MA",1,Haverhill,0,,0,,0,2,0.0,0.0,1,Call Center
6,5136,1/3/2017 13:55,0,False,Closed,1,1/3/2017 13:55,1/3/2017 13:55,1/3/2017 13:55,False,902,A - Transfer Other,False,,8,311 Call Center,,0,,,", Haverhill, MA",1,Haverhill,0,,0,,0,2,0.0,0.0,1,Call Center
7,5137,1/3/2017 13:57,0,False,Closed,1,1/3/2017 13:57,1/3/2017 13:57,1/3/2017 13:57,False,901,A - Information Other,False,,8,311 Call Center,,0,,,", Haverhill, MA",1,Haverhill,0,,0,,0,2,0.0,0.0,1,Call Center
8,5138,1/3/2017 13:57,0,False,Closed,1,1/3/2017 13:57,1/3/2017 13:57,1/3/2017 13:57,False,902,A - Transfer Other,False,,8,311 Call Center,,0,,,", Haverhill, MA",1,Haverhill,0,,0,,0,2,0.0,0.0,1,Call Center
9,5139,1/3/2017 14:03,0,False,Closed,1,1/3/2017 14:03,1/3/2017 14:03,1/3/2017 14:03,False,901,A - Information Other,False,,8,311 Call Center,,0,,,", Haverhill, MA",1,Haverhill,0,,0,,0,2,0.0,0.0,1,Call Center
10,5140,1/3/2017 14:18,0,False,Closed,1,1/3/2017 18:08,1/3/2017 18:08,1/3/2017 18:08,False,321,Snow Removal Issues - Sanding Request,False,,11,Highway,,922,SOLITAIRE DR,SOLITAIRE DR,"SOLITAIRE DR, Haverhill, MA",1,Haverhill,0,,0,,0,2,-71.0737225,42.804261100000005,1,Call Center
