file number,name,type
cc339058,new england building maintenance / carpet cleaning,maintenance / cleaning
cc362996,academic shipbuilding center trump,online education
cc362999,architecture shipbuilding center trump,online education
cc387240,the rock building service,cleaning services
cc413238,ne building maintenance & services,construction/maintenance
cc362799,creative building associates,construction/remodeling
cc362997,information shipbuilding center trump,online education
cc363001,shipbuilding center for social systems trump,online education
cc392432,the regency building company,residential apartments
cc416071,woodchuck's building & home center,bldg. material sales
cc339058,new england building maintenance / carpet cleaning,maintenance / cleaning
cc362996,academic shipbuilding center trump,online education
cc362999,architecture shipbuilding center trump,online education
cc387240,the rock building service,cleaning services
cc413238,ne building maintenance & services,construction/maintenance
cc362799,creative building associates,construction/remodeling
cc362997,information shipbuilding center trump,online education
cc363001,shipbuilding center for social systems trump,online education
cc392432,the regency building company,residential apartments
cc416071,woodchuck's building & home center,bldg. material sales
cc379524,butler building and remodeling,construction
cc414892,brookline building company,realestate
cc357909,j.f. sacramona building & remodeling,building & remodeling
cc311283,r & j building services,janitorial
cc303304,neat building services,janitorial / maintenance
cc392432,the regency building company,residential apartments
cc416071,woodchuck's building & home center,bldg. material sales
cc413238,ne building maintenance & services,construction/maintenance
cc411016,boston building solutions,home improvement
cc309094,ogiste building & remodeling,construction
cc344018 (16001427),act building maintenance,building maintenance
cc196253 (16000891),boston building maintenance specialists,painting
cc191981 (15001704),boston building resources - reuse center,building materials reuse center
cc179223 (12004792),boston building services,ch bus & res loc (12/14/12)
cc193865 (15003652),building blocks digital,content web management
cc182573 (13003019),bcs - building consultation services,architectural consulting
cc184286 (13004789),boston building resources,retail-building products
cc179222 (12004792),boston building services,cleaning
cc179224 (12004792),boston building services,withdrawal (12/10/12)
cc194351 (15004163),building pathways,prelapprenticeship training
cc195361 (15005211),cleansource building services,cleaning
cc182620 (13003067),e & h building and remodeling,building and remodeling
cc197212 (16001967),john j ahern building & remodeling,home improvement
cc194343 (15004154),q & c building services,handyman
cc186083 (14001230),samuels building services,post construction / maintenance
cc195698 (16000297),community boat building,educational non-profit
cc344074 (16002172),gdvbuilding,construction contractor
cc193796 (15003581),legacy building & realty,buliding/real estate investmen
cc186201 (14001350),r a s building services,cleaning services
cc186084 (14001230),samuels building services,withdrawal (3/27/14)
