address,latitude,longitude,point,removable
"63 MT AUBURN STREET, WATERTOWN, MA, USA",42.3662082,-71.18142339669959,POINT (226241.5560637064 901794.167034368),False
"PO BOX 807, LAWRENCE, MA, USA",NA,NA,,
"366 CENTRE AVE, ROCKLAND, MA, USA",42.11232135,-70.92721189679526,POINT (247370.4042585008 873703.9593416926),False
"472 MAIN STREET, ACTON, MA, USA",42.48610425,-71.43355686511197,POINT (205462.6426389404 915065.1632528953),False
"ONE CLARKS HILL STE 305, FRAMINGHAM, MA, USA",42.2821391,-71.4050638,POINT (207830.4243733001 892411.4672474787),False
"77 RUMFORD AV, WALTHAM, MA, USA",42.3593133,-71.24384974939741,POINT (221101.7360491022 901010.9828580946),False
"47 CALVARY ST., WALTHAM, MA, USA",42.369813,-71.22785369033272,POINT (222415.7708319929 902181.3317692156),False
"115 PLYMOUTH ST, MANSFIELD, MA, USA",42.016572606060606,-71.24510818181818,POINT (221111.8293852452 862941.5487005726),False
"90 GROTON RD, NO CHELMSFORD, MA, USA",42.636397099999996,-71.39328753469525,POINT (208752.5098257677 931763.4137880546),False
"108 GORHAM ST., CHELMSFORD, MA, USA",42.60604735,-71.3002521,POINT (216391.1200370431 928405.7471108971),False
"182 MAIN ST, AMESBURY, MA, USA",42.85296105,-70.93184787231523,POINT (246439.0102406395 955970.4533637929),False
"180 MAIN STREET, AMESBURY, MA, USA",42.85341,-70.932222,POINT (246408.0986491464 956020.1239000356),False
"180 MAIN ST, AMESBURY, MA, USA",42.85341,-70.932222,POINT (246408.0986491464 956020.1239000356),False
"26 SUMMER ST, AMESBURY, MA, USA",42.85692166666667,-70.93617133333333,POINT (246082.7205036246 956408.0964592501),False
"POWOW VILLA, AMESBURY, MA, USA",42.857024,-70.936966,POINT (246017.6968839379 956419.0357287305),False
"HERITAGE VALE, AMESBURY, MA, USA",NA,NA,,
"MORTON ST, ANDOVER, MA, USA",42.653236,-71.132094,POINT (230167.3356377462 933693.5518230317),False
"100 MORTON ST, ANDOVER, MA, USA",42.65489015,-71.13190575,POINT (230181.9785742201 933877.3688481962),False
"S MORTON ST, ANDOVER, MA, USA",NA,NA,,
"256 N MAIN ST, ANDOVER, MA, USA",42.6663123,-71.14985813563328,POINT (228704.7681865342 935139.9988806057),False
"23 PETERSON RD, NATICK, MA, USA",42.31189815,-71.33114853820265,POINT (213920.4728360711 895726.3826324665),False
"4 WINSLOW STREET, ARLINGTON, MA, USA",42.4162619,-71.1524273,POINT (228607.3326614262 907363.2906910316),False
"730 MASS AVE, ARLINGTON, MA, USA",NA,NA,,
"4 WINSLOW ST, ARLINGTON, MA, USA",42.4162619,-71.1524273,POINT (228607.3326614262 907363.2906910316),False
