,Unnamed: 0,objectid,mapc_id,muni_id,muni,parloc_id,poly_typ,map_num,mappar_id,loc_id_cnt,land_value,bldg_value,othr_value,total_value,ls_price,ls_date,bldg_area,res_area,luc_1,luc_2,luc_adj_1,luc_adj_2,num_units,units_est,units_src,num_rooms,yr_built,site_addr,addr_str,addr_num,addr_zip,owner_name,owner_addr,owner_city,owner_stat,owner_zip,fy,lot_areaft,far,pct_imperv,pct_bldg,pct_pave,landv_pac,bldgv_psf,totv_pac,bldlnd_rat,sqm_imperv,sqm_bldg,sqm_pave,realesttyp,temp,shape,FullOwnerAddress,std_name,matchAgencyList,std_binary
254,376599,376582,640651,245,Raynham,F_771404_2796317,FEE,10A,10A-11,1.0,26300.0,0.0,0.0,26300.0,0.0,19000101.0,0.0,0.0,972,972,972.0,972.0,0.0,1.0,loc_idcn,0.0,0.0,0  PINE ST,PINE ST,0,02767,MASS BAY TRANSPORTATION,0 PINE ST,RAYNHAM,MA,02767,2019.0,162194.07528694,0.0,0.0,0.0,0.0,7063.31595635,-0.9999,7063.31595635,0.0,-0.9999,-0.9999,0.0,12.0,,720000000E000000080010006A6900009A01520101000000858FEAA4B31591BCDBC1A111FA850894D601F0BA65E4AC0BFEB453E4B209ACA602C4D91E949A01D88910B4F719E4E82986AF07A657A08B39AAA605B4880EF49F7B98A701D0BA0B9A860DCC851586D2018AFE05A2F944AAB6FB01,0 PINE ST RAYNHAM MA,MASS BAY TRANSPORTATION,0,1
608,827492,827472,1543370,35,Boston,M_232190_895352,Boston_poly,,1901184001,1.0,23000.0,0.0,0.0,23000.0,0.0,,0.0,0.0,986.0,986.0,986.0,986.0,0.0,1.0,loc_idcn,0.0,0.0,1 CROSBY SQ,CROSBY SQ,1,02130,MASS BAY TRANSPORTATION AUTH,1 CROSBY SQ,JAMAICA PLAIN,MA,2130.0,2017.0,1039.12405621,0.0,4.22261809,0.0,0.0,964158.21962349,-0.9999,964158.21962349,0.0,4.07642016,-0.9999,0.0,12.0,,4800000007000000080010006A6900003004210101000000B5F09A88B315B1AFC0DBA411F6F0039AF101FEBA04869E02CED107F6EC0D96D005F4AA0386DB01F28201A6D108BC8A0E,1 CROSBY SQ JAMAICA PLAIN MA,MASS BAY TRANSPORTATION AUTH,0,1
2624,895052,895028,1610926,35,Boston,M_229504_900836,Boston_poly,,2201869000,1.0,352500.0,0.0,0.0,352500.0,0.0,,0.0,0.0,986.0,986.0,986.0,986.0,0.0,1.0,loc_idcn,0.0,0.0, EVERETT ST,EVERETT ST,,02135,MASS  DEPT OF TRANSPORTATION,10 PARK  PLAZA,BOSTON,MA,02116,2017.0,62023.4375637,0.0,98.83869834,0.0,0.0,247566.09119304,-0.9999,247566.09119304,0.0,5695.24732072,-0.9999,0.0,12.0,,700000000D000000080010006A69000098012101010000009BDBACF1B215B7EEA68FA511E0BD9006A08F8D01D2EE01FC850A84D81BDCF003AACF1BEED504A4A6D501E09627BAB225CCEF0694E65FCACC11BCD13FC8D80BA68224C8FE06B4DD3DDAFC0B8A9BDB01E4C12AB2F603AAA20E,10 PARK  PLAZA BOSTON MA,MASS  DEPT OF TRANSPORTATION,0,1
2625,889890,889859,1605757,35,Boston,M_237208_903805,Boston_poly,,0203980000,1.0,0.0,296000000.0,0.0,296000000.0,0.0,,0.0,0.0,986.0,986.0,986.0,986.0,0.0,1.0,loc_idcn,0.0,0.0, TOBIN BRIDGE,TOBIN BRIDGE,,02129,MASS DEPT OF TRANSPORTATION,10 PARK  PLAZA,BOSTON,MA,02116,2017.0,16899.51288433,0.0,57.93503013,0.0,0.0,0.0,-0.9999,762966369.9927021,-0.9999,909.5889214,-0.9999,0.0,12.0,,4E00000008000000080010006A6900003601210101000000A78C83B8B315A78DE6ABA5118AD5208AD132D0F42B80CD0DC2E71CC8BB2B88A10AC4D802B6DC15C0E605B08505F2BB079A8203CCE904,10 PARK  PLAZA BOSTON MA,MASS DEPT OF TRANSPORTATION,0,1
2626,512044,511971,933885,336,Weymouth,F_802219_2888296,FEE,49.0,510-1,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9720,9720,972.0,972.0,0.0,1.0,loc_idcn,0.0,0.0,0 POND ST,POND ST,0,,MASS BAY TRANSPORTATION,10 PARK AVE RM 6720,BOSTON,MA,02116,2018.0,1065155.44097123,0.0,51.58004472,0.26669788,51.31334685,0.0,-0.9999,0.0,-0.9999,51041.61917189,263.9139154,50777.70525649,12.0,,930D000074020000080010006A690000BB3505010100000085E896F4B315A387D0DBA311C4C92CB6F51FC69803C4A01B8CBB27C6FA1C86E608E687079C8102D8DD01906AD65BBEF727F8AB22A0E62BC4FF298CF10EF0D60E9EAF11C4EE12A6ED08C6D5098CEF23D2902ABA9C0BFC9E0EBECD15D2D01D98F105D8B208AA9418C6A02480CC18DEBC2AB88D11CCAB1D80C907FAEF0CACCB09C6D911C89001EEFF0B82D809DEE701BCE702F2B8058AFA02CCC704AAC217F49528888E1DE0D3318CDE12EC952096C507CAF60C8CB31AFAB72C8EA51AE0872CB8D819E2B62C8A9201EE850286C202C0BB04989A0AE2A411CC35F28B04E85BF8F006A2F714F2C60D86AE05CCCF0796A414D8C52180CB01C0CD028EB413F8CD2092A60CDCDB14A8DC0CF4F21490A40BD6B413AA9B06C8B30A8C9509D0E40FB8BC10D6CB1C90FC13DAE221A2A108D68C0EA0E21CD08730A48206CCEB0994B911D6C51E82F412D2A820ACCC10D89B1B80831FCACB34A2AA0FEE821AA8E72DFEE74DA0D602D2C704BEE62DE0D250AA8928DAC74686B19201EAA0FA01E0A801E0D404C66BDAC903DE18FABA04EA12C69801C23DE2F103C60FC67BDA5ED88106962CC08905FC9E01FA9905F216E05FCA17C061C21AFE6CE819CA5198B40496D301A6A410AA8C069E9609F2F10EB6B909E88010A8AF0BD6B0149CF90CC8CB15BE9E1FDCE034888010EECD1AA89410CCF11A9E9D23E6AB3BA0C601D4CD02A6990CF48A14B4BA11FABB1DA673CECA0194B71CD8F82F829102EACF03A08801F0ED01BA9E0DE4E016B8F50DE2BF17A0E402D0DE04B0940EFAEE17AAD42AD4DA48B0AC01E28502AAFD0AFC8B118A9204D22E84E818C0BA33A6E30FD4991FA29E16E2D22E9CB906EE940FCAC105C20FBEBD2FD6B67C8C9E02CCB208A6D609CEE80EF4F601D218C2B301B22392B304D4FB058CB201B4920292F30AF8821BB6EB11E0B834B4AD18FC8457928617F0AA6BA85FEEB201A0C405F28519844BC0D30290DC05D6EB1980FF04C8CF16B2C60CECE138B45CF4A003B656C0890386BD02E2D308B259FA9403BCB10AF4892FB8910FC68445A8D201F0B807ACB807F8922286A109F8FC2986CF05F6CE1980AF0BC88634AEDE0DF6DA3E92AA07F8A621BADA06D6F71DA8AD0AC88D2E94F808FCA027969C0AC4982DAE910EECD03DBC3ADC8302A8DB05D2AA189EB408F2EC29B445D6EF02A8D904FCDD188452D2D1029C8206DCDE188C57C2F102B6D805FC8C1890890AFAAE2CB69004CC8212BE72D6C903A8E305C4B1179C4AEE9502A03BCECD019E3BD0CD019E38DCD901983BD4CD01963BD4CD01923BDED901903BD8CD018A3BDACD01843ED8CD01843BE6D901BE3AE2CD01B63DE0CD01B43AE6CD018E52CC9602A03DF4D901983DF0CD01923DF6CD01883DFACD01BC3CFECD01B23CCEDA01B43CC4CE01B03FC2CE01B43CC4CE01B03FC4CE01AC3FCCDA01B23CC4CE01B03FC4CE01AE3FC2CE01AE3FC4CE01AE3FC4CE01AC42C2CE01AA3FD0DA01AE3FC6CE01AC42C4CE01AE3FC8CE01AA42C6CE01AC42C4CE01AC42FECD01AE42FACD01AE42F4CD01AE42F0CD01B042E8CD01B242E4CD01B442DCCD01B045D4CD01948E02EEEF069857F8D7019AFE08FAC217844ADEC201804DFAC201824DD6C301BE4CCAB801824DCAC401824DE4C401BE4FF6C401804DE0B901BE4FDEC501BE4FF2C5018050C6C601BC4FE2BA01BE4FEAC6018050FAC601BA52CEBB01BE4FDCC701BA52ECBB01BC52F8C701BE52CAC801BA52DCBC01B855E4C801BA52FEBC01B855C8C901B855DABD01BC52F8C901B458F8BD01BA55DACA01B855E8BE01BA55C8CB01B458D2BF01B458EABF01B858D0CC01B855D4C001B05BCAC001B858DACC01B458D0C001B25BCAC001B658DACC01BA5BD6C001945CF8C001A45CD0C101B65CF0CD01BE5FF0C101885DC0C2019060C8C201965DD4C201A060E6CE01A060DEC2018E60F8C101B662C6C101A69503D4C405B89401C28C0388CA12DAB726BCB515EEB22C94FE02DEAA06829016F88F2FAEF009D88615A0C708EEA012A28D23E2DA4A94830ACCAB15848454FC86AF01BCF206CAA90EA0C601D8A1039CB906E0C40DB6D978F0EFFA018ED101DCAD0480DC07C0FC10AADC08C2FD11B4CD06DC950D9AD302D49F05BAAB09FAC5128EE407C2F011AABB01F4CA03B0AC08CE9812BEF307D4DC10948B08EEF310A8F907D28B11869808DCB91186A508EAF3119CA702DCFA04906ACAE5018A9B05C09F0BACD501C4CA03AC9801FCCC02B28208F0BE118EB801E49003969004F8FC08928F0EE4E61E84F001CC8A048A33D26FA4AF0FCC89218CA201ECDF02B08D01CAA202BCE305CEEA0BACA003C0FA06B8AF07FCDF0FB2F710C89E248CB30CF6951BB6E003EC9C08AA40E08D01BCB70EDAA31FB2B702C4A705B8E101C2E803BA970FC6E8208EBA06ECC51186CA1AA2980EF298F301B4CDFE03C0A20EB6F91DCCFF6F8892EB01E68B0184A502D0F305B8B10CF829BA57F629B857F6E638ACA177CAD30A88AE16FAEF08BCD012FCC619A6D3355A38C88A26B0F94FC8A809BAC613DE9B128A9F26EE1EA240ECA9209EEF43EA96198EEE34FA830694F10CF02AAC5EC025B64FF6CC01A6C703FCD0039E8508F293019ED302F26C92F601E2AD01829203FAA802B4A905E4AF02ACD305F275989602C29B028CA505C811B6C801C8F70180DE01FC368678FE4F90B901FC4F86B901F840988D01E877B49202C4379E7FF64FACB801DA3E888D01C876AA9202F634BA7EF24C9AB801D83EBE8C01CC5B84D901E65A94E601E83D9CA301EE49ACCF01C63EB69E01D062B69002F64084B101CE5F908E02C032808E01DE48BECD01F431A88D01C25C988E02F63A9E9D01F8558EF201D845B6CD01D8388EA701D85294F401C25B808E02EC2F9A8D01D645ACCD01FE53AEFA01E449BCE001DA449CCD01D643A6CD01C43888A701D62D948C01D64F9CF501D456B88D02EE2BA08D01DE42B4D901E042ACCD01EC3388A701E24B94F401DA56BE8D02F02BA08D01EA3FB2CD01D4318CA701C04BA28002E652BC8D02F429AC8D01EC3FB4CD01F23CB8CD01D83190A701C848A88002F24F908E02F429A48D01F43CBCCD01C02F8CB101FA3796C101F23EAADC01F644B6F401FC4EA09A02F427AA8D01FE3982CE01C449A29A02F827B08D01C03A86CE01CC48A89A02F825B08D01CC5FAA8502C812A6A201D247808D02E624BA8E01CA48869702C227B29001F034BED901F237B0CD01E023908A01FA2B9CB001D22ABCA901E436BED701F023A29201CC25AA9001CC42B29602C644A48A02E023A89001D435ACD901FC2782A301EA23929701DC29A8AE01D422B88B01E032A8D901FED2018EBF01FA17AEA202FC11BACD01C83688A605D478AA9E04FAAE09A4B829D2AA16BAB35ADA8E0EAEB444F2A20A88D62CEA810186C104F2AB0B8AD532FC9B0590E617DEC406B4881ED28405A8AF17C8C80B8AA835D2AA05B2CE18D4FF0BA8B437ECF7048CFE16F0EF09B2832ED0950780AE21F0DE099EFD29E89B03BCE20DEC6D9CDC03D6810598B315CAC4029CF10AD0991A8CEC77FA9D13AA9555D0AB09BAD126C4B80A8C992BEEF80AB48137FA8F17B2A359DECE0880AB19CCC50186EC04ECD608B8DB19D6E612B4D233DE8515B4F92F80F005828C03DC8503A2D601D8F0169E8331EA9817A2B731D293068EA70DEECA019EC102D8CB15AA8D2BF6CF178ACF2ECCFD04848209C2BF098A9811EED30490F809EEBE02BEF504D0688ABE01D06B8EB201D06888BE01CE6B86BE01D2688CB201CE6B86BE01CE6B8CB201D06886BE01CE6B84BE01D0688EB201CE6B84BE01CC6B86BE01CE688EB201CC6B86BE01CC6886BE01CC6B8CB201CA6B88BE01CE6886BE01CA6B8EB201CA6B86BE01CA688EB201CA6B88BE01C86B86BE01CA6890B201CA6B86BE01C66B88BE01CA688EB201C86B88BE01C66B88BE01C8688EB201C86B88BE01C66B8EB201C46B88BE01C8688ABE01C66B8EB201C46B88BE01C6688ABE01C46B90B201C46B88BE01C46B90B201C66888BE01C26B8ABE01C46B90B201C26B88BE01C26B8ABE01C46890B201C26B88BE01C26B92B201C06B88BE01C2688ABE01C26B90B201C06B8ABE01F2E8158CE525FEA416909526F8F41994FE29F493559ACF9101F461ACA601D6C72DA2BF4DCC930F9C9E1AF8B81180FE1EC6DB02848C04C8A509A48311C49B1182A223E2AA01ACBD02A6D907888809A64B84ED05D84A948903C0CD01A28F05D01684DD01F407B87DE226A0BA05F405948601BE028C9002A6058AD702B405B088028002BE54B63E92C005B4189CFE01A23090D602CE9C04AEB411F68603AAB806DC900192A502F091019A9202C47A96DD01EEE502FEE801DE8503DEF001D0BB04E0ED02C48201DE7BD69D02FCB601F270E85DF4BD02CA9702E4CC07E8D204D4AC01E86FC2B003FCF102D2E801F84FF45F98A201EAED1FB8FC35F4639CA601C65D8C9B01E4EA0990D410E4E83794F85CF6B8038CE105D8C725A0B63EE8DF11A4DC1EF2AE0CB0AC15CABE51A8C58B0186F10600FABE0C90B315FCAE1B8ECC2EEEAC02A0F004EAC204948B01C6C20590CF01C6E11086D61AE0CB01BEC002E8A9DF01A687F502E8980F9AAF19EE820CACF113C0FF1896842BF48605A4C608FC9A14AC9A22FEA01982E22AC8B219BCA62ACAD81896A72AC6D10D9AB717DC830B8AFC12C0D418B6A72ACAD00192E502D2F30BA88C18F8CF0C8ADD17C0AB0DB8AA17E4840EBAF516DEDC0E8EBE16EAB20FB88316C4871082C715E4D910A48715C8AA11AEC514FCC60EA2A910F2F90E82FB0FE2AB0F96CB0FD2821288AF11FEBF1292ED10F2FB12B2A910ECB513A2E40FE6ED13B09D0FF88E0AA2B607FEF40884CC06,10 PARK AVE RM 6720 BOSTON MA,MASS BAY TRANSPORTATION,0,1
2644,628210,628188,1104257,288,Sudbury,F_681197_2956127,FEE,K09,K09-0067,1.0,17800.0,0.0,0.0,17800.0,1.0,19761224.0,0.0,0.0,929.0,929.0,929.0,929.0,0.0,1.0,loc_idcn,0.0,0.0,0  BOSTON POST RD,BOSTON POST RD,0,1776.0,MASS BAY TRANSPORTATION AUTH,10 PARK PLACE,BOSTON,MA,02110,2019.0,37901.94323267,0.0,0.0,0.0,0.0,20457.20968026,-0.9999,20457.20968026,0.0,-0.9999,-0.9999,0.0,12.0,,4D00000008000000080010006A6900003503180101000000ADFBC79DB1158390DC91A511E4A00EF8A72E8C8B61868C0980F7069A0D98C10686BB3CD8A030F0E609E0AC16F88E06C8D619C6B707,10 PARK PLACE BOSTON MA,MASS BAY TRANSPORTATION AUTH,0,1
2645,891482,891454,1607352,35,Boston,M_232279_895479,Boston_poly,,1901163000,1.0,1022800.0,0.0,0.0,1022800.0,0.0,,0.0,0.0,987.0,987.0,987.0,987.0,0.0,1.0,loc_idcn,0.0,0.0, CALL ST,CALL ST,,02130,MASS BAY TRANSPORTATION AUTH,10 PARK PLAZA   RM 6160,BOSTON,MA,02110,2017.0,23586.19148247,0.0,72.55826357,0.0,0.0,1888951.33973294,-0.9999,1888951.33973294,0.0,1589.91694939,-0.9999,0.0,12.0,,E101000060000000080118006A6900008907210101000000A7B1A888B315AB89ECDBA411B2D002ACA803BADE02B49C039669B473A08302B49C029AFA0280840380A0029E9302B095049EB9038CED3380E5259232BC05822280049E21BE039817A201AE2398028E1932882284018C184884234E92177ABA23DA01B216EC019E24EC02BA3ADA06A63ADA089C3AE80AB439E20C9E39EA0E8439E6109038E412A837E014B436E0168436CE188A35CE1A92EE4C98EE9A01D88405AABF02E2EE0D94F006CAE204C4B31CEEBE0EFCAD24E2AF05E6B20AE4D711CA9821EC8C0C9E8D03E8AC03FEF50B94D40BF8F602D8A001CCE202C2B002F0D303D28102C0A503F4DE02D6BC03C8EB03C6E004E28204ECC804F4DE02CCF602FEA403F4DE02D6E106D4B104CEC11DD08C13E814C60DE215E60BD816C00AFE16E608DC17EE06FA17D205CC18DC03D818FA01E21848DA18A201CE189C03FA17B804E617AE06CA179208D416B409EE15900BF014800DF8138C0EFA12A60FEC118411D810BE11CA0F9813FA0D8814D80C8615F00A8416CC09AC16EC078617C606B017D8048418EA0298187A9A1828A2189E02981882048418BE05B017A8068C15EADF1AFEB932E8B1A888B315EB89ECDBA4119291C388B315A9C39EDCA4118412922AD008DA11C609E8166ED002,10 PARK PLAZA   RM 6160 BOSTON MA,MASS BAY TRANSPORTATION AUTH,0,1
2661,399798,399771,667950,251,Rockland,M_250169_879580,TAX,04,,1.0,377400.0,0.0,0.0,377400.0,0.0,20050323.0,0.0,0.0,9240.0,9240.0,924.0,924.0,0.0,1.0,loc_idcn,0.0,0.0,0 POND ST,POND ST,0,,MASS DEPT OF TRANSPORTATION,10 PARK PLAZA  SUITE 3170,BOSTON,MA,02116,2019.0,137578.24106331,0.0,3.56271784,0.0,0.0,119492.32576999,-0.9999,119492.32576999,0.0,455.36633382,-0.9999,0.0,12.0,,CD0000001E000000080010006A690000B502010101000000AF82C9B4B415B9D3D0C4A311ACC728A6A311DCBD1A88F20CD0FB2498FF11DC278C13F8AF07AACC03C4E043928821FC4F8227CE906C92D634F6AC16EAC509DCF106E4F713FCE701C6DB04B49F07D88A0CBE9805E49B0886DB04F4D6058ABC04C6A4069EBA08E6E4099AD908F287098CB609F8E808A49B08F2BE0798E70BC482088CAE01D076A6DE0EDAD908868C08FACF03B6A020CCE70C90861FD2E00AA29B08ECE3029A8411E6B30682AB08C49203B2E63086E514,10 PARK PLAZA  SUITE 3170 BOSTON MA,MASS DEPT OF TRANSPORTATION,0,1
3255,971127,971119,1706998,240,Plympton,F_856854_2807242,FEE,19,19-2-4,1.0,123300.0,0.0,0.0,123300.0,0.0,19910627.0,0.0,0.0,9240,9240,924.0,924.0,0.0,1.0,loc_idcn,0.0,0.0,0 SPRING ST,SPRING ST,0,02367,MA DEPT OF TRANSPORTATION,"10 PARK PLAZA, SUITE 4160",BOSTON,MA,02106,2018.0,959622.62051871,0.0,65.43149694,0.0,0.0,5596.9376765,-0.9999,5596.9376765,0.0,58333.37058241,-0.9999,0.0,12.0,,770000000E000000080010006A6900009F01010101000000A9D7A89EB515B9D8F7DFA111F08433BEBE6BF4C55E8A90C701FEAC2D86C25FD6A009EEF20BA2AA26D2B047F08D32CCD941D8832AA8C824E2A6AD02F2A3DA02D2E94BE4A875B89DB90292C42ED0F719A28155A8ABCE02AC932982BC098C9501,"10 PARK PLAZA, SUITE 4160 BOSTON MA",MA DEPT OF TRANSPORTATION,0,1
3276,880927,880896,1596794,35,Boston,M_228631_892863,Boston_poly,,2005725000,1.0,492800.0,0.0,0.0,492800.0,0.0,,0.0,0.0,985.0,985.0,985.0,985.0,0.0,1.0,loc_idcn,0.0,0.0,32 RAILROAD RD,RAILROAD RD,32,02132,MASS BAY TRANSPORTATION AUTH,10 PARK PLZ #5750,BOSTON,MA,02116,2017.0,27756.63259781,0.0,94.706138,0.0,0.0,773377.96378424,-0.9999,773377.96378424,0.0,2442.16297209,-0.9999,0.0,12.0,,660000000C000000080010006A6900008E0121010100000091C6CEE6B215ABCFE1C3A411EC9C0388E303C2A32094E323DACF01FCA901FEFF01CAE701C48302FCE901F69902E4FE01F2E701D4D101FCCE02DEAE02D0E436E6BC31A8AD13D48918969953B6F82C,10 PARK PLZ #5750 BOSTON MA,MASS BAY TRANSPORTATION AUTH,0,1
