address,avgsaleprice
"10 Park Plaza, Boston, MA",-1
"106 Central Street, Wellesley, MA",1530991
"13 E. Central Street, Natick, MA",587610
"1301 Centre Street, Newton Centre, MA",1189376
"150 Lowell Avenue, Newton, MA",1189376
"2 Central Street, Wellesley, MA",1530991
"207 Washington Street, Wellesley, MA",1530991
"2121 Commonwealth Ave, Boston, MA",845652
"219 Washington Street, Wellesley, MA",1530991
"229 Washington Street, Wellesley, MA",1530991
"231 Forest Street, Babson Park, MA",-1
"24 Larnis Road, Framingham, MA",426759
"251 Causeway St., Boston, MA",-1
"275 Grove Street, Newton, MA",-1
"307 Washington Street, Wellesley, MA",1530991
"309 Washington Street, Wellesley, MA",1530991
"41 River Street, Wellesley, MA",1530991
"420 Linden Street, Wellesley, MA",1530991
"485 Washington St., Wellesley, MA",1530991
"49 Washington Street, Wellesley, MA",1530991
"50 High St., Boston, MA",-1
"50 Kingsbury Street, Wellesley, MA",1530991
"50 Linden Street, Wellesley, MA",1530991
"50 Oakland Street, Wellesley, MA",1530991
"502 Washington Street, Wellesley, MA",1530991
"505-513 Washington Street, Wellesley, MA",-1
"525 Washington St., Wellesley, MA",1530991
"525 Washington Street, Wellesley, MA",1530991
"530 Washington St., Wellesley, MA",1530991
"800 Highland Avenue, Needham, MA",-1
"PO Box 81129, Wellesley, MA",-1
"Pembroke Road, Weston, MA",-1
