,YEAR,STATEFIP,CITY,CNTRY,MORTGAGE,RENT,RENTGRS,VACANCY,KITCHEN,FRIDGE,PHONE,CINETHH,FAMSIZE,SEX,AGE,MARST,RACE,RACED,CITIZEN,SCHOOL,EDUC,EDUCD,GRADEATT,GRADEATTD,EMPSTAT,EMPSTATD,INCTOT,FTOTINC
1372891,2016,25,810,840,0,1600,1620,0,4,2,2,1,2,1,32,1,4,400,3,1,11,116,0,0,1,10,86000,181000
1372892,2016,25,810,840,0,1600,1620,0,4,2,2,1,2,2,31,1,4,400,3,1,11,116,0,0,1,10,95000,181000
1373020,2016,25,810,840,0,900,930,0,4,2,2,1,1,1,31,6,1,100,3,1,6,63,0,0,1,10,55000,55000
1373021,2016,25,810,840,0,900,930,0,4,2,2,1,1,1,38,3,1,100,3,1,2,25,0,0,1,10,13200,13200
1373034,2016,25,6670,840,0,1300,1860,0,4,2,2,1,6,2,31,1,7,700,0,1,5,50,0,0,3,30,0,20500
1373035,2016,25,6670,840,0,1300,1860,0,4,2,2,1,6,1,39,1,7,700,0,1,5,50,0,0,1,10,20500,20500
1373049,2016,25,810,840,0,3000,3070,0,4,2,2,1,1,2,29,6,1,100,0,1,11,116,0,0,1,10,110000,110000
1373050,2016,25,810,840,0,3000,3070,0,4,2,2,1,1,2,31,6,1,100,0,1,10,101,0,0,1,10,90100,90100
1373067,2016,25,810,840,0,1400,1560,0,4,2,2,1,2,1,26,6,1,100,0,1,11,115,0,0,1,10,54000,54000
1373068,2016,25,810,840,0,1400,1560,0,4,2,2,1,2,2,27,6,1,100,0,1,10,101,0,0,1,10,41000,54000
1373130,2016,25,3770,840,0,1700,1870,0,4,2,2,1,1,2,69,2,2,200,0,1,8,81,0,0,3,30,39010,39010
1373179,2016,25,810,840,0,1800,1820,0,4,2,2,1,1,2,33,6,1,100,0,1,10,101,0,0,1,10,120000,120000
1373204,2016,25,810,840,0,3500,3650,0,4,2,2,1,4,1,37,1,6,610,3,1,11,114,0,0,1,10,543000,543000
1373205,2016,25,810,840,0,3500,3650,0,4,2,2,1,4,2,33,1,6,610,3,1,11,114,0,0,3,30,0,543000
1373255,2016,25,810,840,0,930,1150,0,4,2,2,1,3,1,50,1,1,100,3,1,7,71,0,0,1,10,85000,85000
1373256,2016,25,810,840,0,930,1150,0,4,2,2,1,3,2,54,1,1,100,3,1,6,63,0,0,3,30,0,85000
1373262,2016,25,810,840,0,80,580,0,4,2,2,2,3,2,33,6,2,200,0,1,7,71,0,0,3,30,2600,2600
1373329,2016,25,810,840,0,1200,1300,0,4,2,2,1,1,1,80,5,1,100,1,1,1,17,0,0,3,30,14900,14900
1373342,2016,25,810,840,0,2100,2230,0,4,2,2,1,1,2,29,6,1,100,0,2,10,101,6,60,1,10,19000,19000
1373343,2016,25,810,840,0,2100,2230,0,4,2,2,1,1,2,40,6,1,100,0,1,10,101,0,0,1,10,20200,20200
1373344,2016,25,810,840,0,2100,2230,0,4,2,2,1,1,2,34,6,1,100,0,2,10,101,6,60,1,10,17000,17000
1373345,2016,25,7570,840,0,500,580,0,4,2,2,1,3,2,54,4,1,100,0,1,6,63,0,0,3,30,8500,15900
1373381,2016,25,7570,840,0,750,930,0,4,2,2,1,2,1,62,1,2,200,0,1,6,63,0,0,3,30,0,17600
1373382,2016,25,7570,840,0,750,930,0,4,2,2,1,2,2,62,1,2,200,0,1,6,63,0,0,1,10,17600,17600
1373425,2016,25,810,840,0,220,250,0,4,2,2,3,1,2,94,5,4,400,2,1,6,61,0,0,3,30,9800,9800
1373461,2016,25,810,840,0,1600,1695,0,4,2,2,1,1,1,25,6,1,100,0,2,7,71,6,60,1,10,51000,51000
