,YEAR,STATEFIP,CITY,CNTRY,MORTGAGE,RENT,RENTGRS,VACANCY,KITCHEN,FRIDGE,PHONE,CINETHH,FAMSIZE,SEX,AGE,MARST,RACE,RACED,CITIZEN,SCHOOL,EDUC,EDUCD,GRADEATT,GRADEATTD,EMPSTAT,EMPSTATD,INCTOT,FTOTINC
1373462,2016,25,810,840,0,1600,1695,0,4,2,2,1,1,2,31,6,1,100,0,1,10,101,0,0,1,10,45700,45700
1373464,2016,25,6670,840,0,190,210,0,4,2,2,1,1,2,60,4,1,100,0,1,2,25,0,0,3,30,9900,9900
1373482,2016,25,810,840,0,1600,1660,0,4,2,2,1,2,1,31,6,1,100,0,1,10,101,0,0,1,10,62000,62000
1373483,2016,25,810,840,0,1600,1660,0,4,2,2,1,2,2,32,6,1,100,0,1,10,101,0,0,1,10,65000,62000
1373485,2016,25,3770,840,0,230,230,0,4,2,2,3,1,1,47,6,6,660,3,1,5,50,0,0,3,30,8500,8500
1373489,2016,25,810,840,0,3500,3580,0,4,2,2,1,2,1,65,1,1,100,0,1,11,114,0,0,1,10,98000,122000
1373490,2016,25,810,840,0,3500,3580,0,4,2,2,1,2,2,66,1,1,100,0,1,11,114,0,0,3,30,24000,122000
1373499,2016,25,7570,840,0,990,1100,0,4,2,2,3,3,2,43,6,7,700,0,1,6,63,0,0,1,10,18000,26800
1373500,2016,25,7570,840,0,990,1100,0,4,2,2,3,3,2,23,6,7,700,0,2,7,71,6,60,2,20,0,26800
1373501,2016,25,7570,840,0,990,1100,0,4,2,2,3,3,1,21,6,7,700,0,1,6,63,0,0,1,10,8800,26800
1373503,2016,25,930,840,0,2000,2210,0,4,2,2,1,4,2,39,1,1,100,2,1,11,114,0,0,1,10,79400,161690
1373504,2016,25,930,840,0,2000,2210,0,4,2,2,1,4,1,41,1,1,100,1,1,11,114,0,0,1,12,82290,161690
1373516,2016,25,810,840,0,900,1040,0,4,2,2,1,5,2,38,6,1,100,3,1,1,17,0,0,1,10,2000,2000
1373520,2016,25,810,840,0,900,1040,0,4,2,2,1,5,1,41,4,8,801,3,1,3,30,0,0,1,10,40000,2000
1373577,2016,25,6670,840,0,1200,1300,0,4,2,2,1,3,2,29,6,7,700,0,1,8,81,0,0,1,10,7000,7000
1373580,2016,25,810,840,0,1800,1850,0,4,2,2,1,2,2,53,1,1,100,0,1,10,101,0,0,3,30,0,100100
1373581,2016,25,810,840,0,1800,1850,0,4,2,2,1,2,1,57,1,1,100,0,1,11,114,0,0,1,10,100100,100100
1373591,2016,25,810,840,0,270,303,0,4,2,2,1,1,2,81,5,1,100,2,1,11,114,0,0,3,30,9900,9900
1373594,2016,25,810,840,0,900,970,0,4,2,2,1,2,2,77,5,2,200,0,1,3,30,0,0,3,30,12000,72000
1373595,2016,25,810,840,0,900,970,0,4,2,2,1,2,2,33,6,2,200,0,1,11,114,0,0,1,10,60000,72000
1373629,2016,25,810,840,0,700,700,0,4,2,2,1,4,2,42,2,2,200,0,1,6,65,0,0,1,10,13760,14120
1373630,2016,25,810,840,0,700,700,0,4,2,2,1,4,1,19,6,2,200,0,1,6,63,0,0,3,30,360,14120
1373644,2016,25,6670,840,0,630,720,0,4,2,2,1,3,2,36,4,2,200,0,2,6,64,6,60,1,10,24000,24000
1373648,2016,25,810,840,0,500,730,0,4,2,2,1,1,2,24,6,8,801,3,1,2,26,0,0,1,10,12000,12000
1373649,2016,25,810,840,0,500,730,0,4,2,2,1,1,1,40,3,7,700,0,1,6,63,0,0,1,12,37000,37000
1373661,2016,25,7570,840,0,1100,1180,0,4,2,2,1,3,1,29,1,6,610,3,1,10,101,0,0,1,10,57170,62190
1373662,2016,25,7570,840,0,1100,1180,0,4,2,2,1,3,2,25,1,6,610,3,1,10,101,0,0,1,10,5020,62190
1373692,2016,25,6670,840,0,90,350,0,4,2,2,3,1,2,39,5,2,200,3,1,5,50,0,0,2,20,22900,22900
1373706,2016,25,810,840,0,860,1017,0,4,2,2,1,1,1,65,5,1,100,0,1,6,63,0,0,3,30,19400,19400
1373816,2016,25,810,840,0,560,560,0,4,2,2,1,1,1,37,6,7,700,0,1,6,64,0,0,1,10,150000,150000
1373830,2016,25,810,840,0,1800,1840,0,4,2,2,1,2,2,25,6,1,100,0,1,10,101,0,0,1,10,42000,42000
1373831,2016,25,810,840,0,1800,1840,0,4,2,2,1,2,2,24,6,1,100,0,1,11,114,0,0,1,10,16000,42000
1373845,2016,25,7570,840,0,250,250,0,4,2,2,1,2,2,38,1,1,100,0,1,0,2,0,0,3,30,10200,10200
1373846,2016,25,7570,840,0,250,250,0,4,2,2,1,2,1,39,1,1,100,0,1,0,2,0,0,3,30,0,10200
1373894,2016,25,810,840,0,280,350,0,4,2,2,1,1,1,54,3,7,700,0,1,6,61,0,0,3,30,17300,17300
1373903,2016,25,810,840,0,1400,1430,0,4,2,2,1,1,1,40,6,1,100,0,1,10,101,0,0,1,10,125000,125000
1373906,2016,25,930,840,0,2100,2220,0,4,2,2,1,2,2,33,1,1,100,0,1,10,101,0,0,1,10,40000,92300
1373907,2016,25,930,840,0,2100,2220,0,4,2,2,1,2,1,33,1,1,100,0,1,11,116,0,0,1,10,52300,92300
1373908,2016,25,6670,840,0,920,920,0,4,2,2,3,1,2,70,6,1,100,0,1,4,40,0,0,3,30,14600,14600
1373934,2016,25,930,840,0,2400,2470,0,4,2,2,1,1,1,41,6,6,610,2,1,11,115,0,0,1,10,90000,90000
1373937,2016,25,810,840,0,1600,1680,0,4,2,2,1,1,1,22,6,4,400,0,1,11,114,0,0,1,10,32500,32500
1373956,2016,25,6670,840,0,1200,1590,0,4,2,2,1,5,2,48,1,1,100,0,1,3,30,0,0,3,30,8400,54800
1373957,2016,25,6670,840,0,1200,1590,0,4,2,2,1,5,1,62,1,1,100,0,1,2,22,0,0,3,30,9600,54800
1373958,2016,25,6670,840,0,1200,1590,0,4,2,2,1,5,1,28,6,1,100,0,1,5,50,0,0,1,10,17600,54800
1373959,2016,25,6670,840,0,1200,1590,0,4,2,2,1,5,2,22,6,1,100,0,1,6,65,0,0,1,10,19200,54800
1373994,2016,25,930,840,0,2000,2100,0,4,2,2,1,1,2,25,6,1,100,0,1,10,101,0,0,1,10,35000,35000
1374010,2016,25,810,840,0,160,160,0,4,2,2,1,1,1,59,4,4,400,0,1,0,2,0,0,1,10,20800,20800
1374019,2016,25,810,840,0,1000,1000,0,4,2,2,3,1,2,73,5,4,400,2,1,1,15,0,0,3,30,7700,7700
1374053,2016,25,810,840,0,350,410,0,4,2,2,3,1,2,84,5,1,100,2,1,6,63,0,0,3,30,26200,26200
1374058,2016,25,810,840,0,2600,2770,0,4,2,2,1,1,2,24,6,1,100,0,1,10,101,0,0,1,10,85000,85000
1374059,2016,25,810,840,0,2600,2770,0,4,2,2,1,1,2,24,6,1,100,0,1,10,101,0,0,1,10,30000,30000
1374060,2016,25,810,840,0,2600,2770,0,4,2,2,1,1,2,24,6,8,801,0,1,10,101,0,0,1,10,45000,45000
1374104,2016,25,810,840,0,810,810,0,4,2,2,1,2,2,26,4,7,700,0,1,10,101,0,0,1,10,49000,49000
1374119,2016,25,3770,840,0,2500,2580,0,4,2,2,1,2,1,49,4,1,100,0,1,10,101,0,0,1,10,137000,142900
1374120,2016,25,3770,840,0,2500,2580,0,4,2,2,1,2,2,22,6,1,100,0,2,10,101,6,60,1,10,5900,142900
1374128,2016,25,810,840,0,1200,1650,0,4,2,2,3,1,1,74,5,2,200,0,1,6,63,0,0,3,30,14400,14400
1374146,2016,25,7570,840,0,750,910,0,4,2,2,1,1,1,31,6,1,100,0,2,10,101,7,70,1,10,43400,43400
1374179,2016,25,930,840,0,1800,1880,0,4,2,2,1,3,1,29,1,8,801,0,1,11,114,0,0,1,10,52000,52000
1374180,2016,25,930,840,0,1800,1880,0,4,2,2,1,3,2,30,1,1,100,0,1,11,114,0,0,2,20,0,52000
1374185,2016,25,930,840,0,3500,3560,0,4,2,2,1,2,1,44,1,1,100,3,1,10,101,0,0,1,10,145000,187000
1374186,2016,25,930,840,0,3500,3560,0,4,2,2,1,2,2,34,1,1,100,3,1,10,101,0,0,3,30,42000,187000
1374190,2016,25,3770,840,0,1200,1260,0,4,2,2,3,2,2,51,6,2,200,2,1,8,81,0,0,1,10,26000,26000
1374207,2016,25,810,840,0,1600,1600,0,4,2,2,3,1,1,67,6,2,200,0,1,6,63,0,0,3,30,9000,9000
1374221,2016,25,7570,840,0,2500,3177,0,4,2,2,1,1,1,59,2,1,100,0,1,10,101,0,0,3,30,158100,158100
1374231,2016,25,810,840,0,240,270,0,4,2,2,1,1,2,80,2,4,400,2,1,8,81,0,0,3,30,9600,9600
1374298,2016,25,810,840,0,1400,1550,0,4,2,2,1,2,1,23,1,1,100,0,1,10,101,0,0,3,30,0,45000
1374299,2016,25,810,840,0,1400,1550,0,4,2,2,1,2,2,24,1,1,100,0,1,10,101,0,0,1,10,45000,45000
1374300,2016,25,7570,840,0,1000,1160,0,4,2,2,1,2,2,48,3,1,100,0,1,6,63,0,0,1,10,46500,46500
1374301,2016,25,7570,840,0,1000,1160,0,4,2,2,1,2,1,44,5,1,100,0,1,6,63,0,0,3,30,0,46500
1374307,2016,25,810,840,0,2100,2150,0,4,2,2,1,1,2,28,6,1,100,0,1,10,101,0,0,1,10,80000,80000
1374308,2016,25,810,840,0,2100,2150,0,4,2,2,1,1,2,27,6,1,100,0,1,10,101,0,0,1,10,73000,73000
1374321,2016,25,810,840,0,230,230,0,4,2,2,3,2,2,56,6,1,100,3,1,2,22,0,0,3,30,8400,8400
1374322,2016,25,810,840,0,230,230,0,4,2,2,3,2,2,84,2,1,100,3,1,0,2,0,0,3,30,0,8400
1374357,2016,25,810,840,0,3500,3550,0,4,2,2,1,1,1,23,6,1,100,3,2,10,101,7,70,1,10,5500,5500
1374384,2016,25,810,840,0,240,310,0,4,2,2,3,1,1,63,6,4,400,3,1,2,23,0,0,1,10,18000,18000
1374412,2016,25,810,840,0,1700,1710,0,4,2,2,1,2,2,23,6,8,811,0,2,10,101,7,70,3,30,3000,3000
1374413,2016,25,810,840,0,1700,1710,0,4,2,2,1,2,1,24,6,1,100,0,1,10,101,0,0,1,10,5000,3000
1374416,2016,25,6670,840,0,230,230,0,4,2,2,1,1,2,66,4,1,100,0,1,7,71,0,0,3,30,13900,13900
1374445,2016,25,7570,840,0,1200,1390,0,4,2,2,1,3,2,54,3,2,200,3,1,6,64,0,0,1,10,30000,65500
1374446,2016,25,7570,840,0,1200,1390,0,4,2,2,1,3,2,24,6,2,200,3,1,8,81,0,0,1,10,35000,65500
1374447,2016,25,7570,840,0,1200,1390,0,4,2,2,1,3,2,19,6,2,200,0,2,7,71,6,60,1,10,500,65500
1374458,2016,25,7570,840,0,900,1150,0,4,2,2,1,3,2,59,4,4,400,3,1,6,63,0,0,1,10,4800,4800
1374459,2016,25,7570,840,0,900,1150,0,4,2,2,1,3,1,42,4,4,400,0,1,10,101,0,0,1,10,12000,4800
1374460,2016,25,7570,840,0,900,1150,0,4,2,2,1,3,1,59,6,4,400,3,1,6,63,0,0,1,10,34300,4800
1374496,2016,25,810,840,0,1500,1800,0,4,2,2,1,3,1,35,1,1,100,0,1,11,114,0,0,1,10,80000,116400
1374497,2016,25,810,840,0,1500,1800,0,4,2,2,1,3,2,34,1,1,100,0,1,6,63,0,0,1,12,36400,116400
1374515,2016,25,810,840,0,2500,2550,0,4,2,1,1,1,1,31,6,1,100,0,1,10,101,0,0,1,10,60000,60000
1374516,2016,25,810,840,0,2500,2550,0,4,2,1,1,1,1,26,6,1,100,3,1,10,101,0,0,1,10,77000,77000
1374518,2016,25,810,840,0,1000,1300,0,4,2,2,1,1,1,33,6,1,100,0,1,11,115,0,0,1,10,51000,51000
1374524,2016,25,810,840,0,1500,1580,0,4,2,2,1,2,1,30,6,1,100,0,1,10,101,0,0,1,10,61000,61000
1374525,2016,25,810,840,0,1500,1580,0,4,2,2,1,2,2,30,6,1,100,0,1,11,114,0,0,1,10,55000,61000
1374530,2016,25,810,840,0,1300,1538,0,4,2,2,1,4,1,52,1,2,200,2,1,6,61,0,0,1,10,40000,114000
1374531,2016,25,810,840,0,1300,1538,0,4,2,2,1,4,2,51,1,2,200,2,1,6,64,0,0,1,10,35000,114000
1374532,2016,25,810,840,0,1300,1538,0,4,2,2,1,4,1,25,6,2,200,0,1,10,101,0,0,1,10,30000,114000
1374533,2016,25,810,840,0,1300,1538,0,4,2,2,1,4,2,22,6,2,200,0,2,10,101,6,60,1,10,9000,114000
1374562,2016,25,810,840,0,1700,1740,0,4,2,2,1,2,2,24,6,1,100,0,2,10,101,7,70,1,10,35900,35900
1374563,2016,25,810,840,0,1700,1740,0,4,2,2,1,2,1,23,6,1,100,0,1,11,114,0,0,1,10,62000,35900
1374570,2016,25,810,840,0,430,610,0,4,2,2,3,4,2,33,6,8,801,3,1,3,30,0,0,1,10,21400,21400
1374580,2016,25,810,840,0,1100,1170,0,4,2,2,3,1,2,75,6,1,100,0,1,11,114,0,0,3,30,46700,46700
1374604,2016,25,810,840,0,2000,2060,0,4,2,2,1,2,1,25,6,1,100,0,1,10,101,0,0,1,10,90000,90000
1374605,2016,25,810,840,0,2000,2060,0,4,2,2,1,2,2,25,6,1,100,0,1,10,101,0,0,1,10,48000,90000
1374634,2016,25,810,840,0,730,830,0,4,2,2,1,1,1,26,6,1,100,0,1,10,101,0,0,1,10,52000,52000
1374635,2016,25,810,840,0,730,830,0,4,2,2,1,1,1,26,6,1,100,0,1,10,101,0,0,1,10,58000,58000
1374636,2016,25,810,840,0,730,830,0,4,2,2,1,1,1,25,6,1,100,0,1,10,101,0,0,1,10,43000,43000
1374689,2016,25,810,840,0,1500,1600,0,4,2,2,1,5,2,30,6,8,801,3,1,2,25,0,0,1,10,6700,6700
1374694,2016,25,810,840,0,1500,1600,0,4,2,2,1,1,1,34,2,8,801,3,1,2,22,0,0,1,10,18000,18000
1374716,2016,25,810,840,0,2200,2310,0,4,2,2,1,1,1,30,6,1,100,0,2,11,116,7,70,1,10,28000,28000
1374782,2016,25,810,840,0,1300,1300,0,4,2,2,1,1,1,42,6,1,100,0,1,10,101,0,0,1,10,90000,90000
1374809,2016,25,810,840,0,1000,1000,0,4,2,2,1,1,1,27,6,1,100,0,2,10,101,6,60,1,10,60000,60000
1374833,2016,25,810,840,0,3500,3580,0,4,2,2,1,1,1,21,6,1,100,0,2,7,71,6,60,1,10,22000,22000
1374834,2016,25,810,840,0,3500,3580,0,4,2,2,1,1,1,21,6,1,100,0,2,6,63,6,60,3,30,13000,13000
1374835,2016,25,810,840,0,3500,3580,0,4,2,2,1,1,1,21,6,1,100,0,2,7,71,6,60,1,10,30000,30000
1374836,2016,25,810,840,0,3500,3580,0,4,2,2,1,1,1,20,6,1,100,0,2,6,63,6,60,3,30,13000,13000
1374864,2016,25,810,840,0,3500,3600,0,4,2,2,1,2,2,27,6,6,640,2,1,11,114,0,0,1,10,70000,70000
1374865,2016,25,810,840,0,3500,3600,0,4,2,2,1,2,1,32,6,1,100,0,1,11,114,0,0,1,10,250000,70000
1374908,2016,25,930,840,0,100,100,0,4,2,2,1,2,1,54,6,1,100,0,1,7,71,0,0,3,30,9700,9700
1374909,2016,25,930,840,0,100,100,0,4,2,2,1,2,2,36,6,1,100,0,1,8,81,0,0,2,20,4700,9700
1374938,2016,25,810,840,0,1500,1740,0,4,2,2,2,3,2,61,4,2,200,2,1,6,63,0,0,3,30,8000,9600
1374939,2016,25,810,840,0,1500,1740,0,4,2,2,2,3,2,20,6,2,200,0,1,6,63,0,0,2,20,1600,9600
1374952,2016,25,7570,840,0,1400,1400,0,4,2,2,3,2,1,76,1,1,100,0,1,2,26,0,0,3,30,16100,27300
1374953,2016,25,7570,840,0,1400,1400,0,4,2,2,3,2,1,79,1,1,100,0,1,2,26,0,0,3,30,11200,27300
1374957,2016,25,7570,840,0,400,780,0,4,2,2,3,1,1,76,6,1,100,0,1,8,81,0,0,3,30,17900,17900
1374969,2016,25,810,840,0,3500,3530,0,4,2,2,1,2,2,27,6,1,100,0,1,11,114,0,0,1,10,31000,31000
1374970,2016,25,810,840,0,3500,3530,0,4,2,2,1,2,1,28,6,1,100,0,1,10,101,0,0,1,10,200000,31000
1375022,2016,25,810,840,0,1900,2667,0,4,2,2,1,2,2,60,4,2,200,2,1,6,63,0,0,1,12,14000,23400
1375023,2016,25,810,840,0,1900,2667,0,4,2,2,1,2,1,27,6,2,200,0,1,6,64,0,0,3,30,9400,23400
1375025,2016,25,810,840,0,1400,1450,0,4,2,2,2,1,1,58,6,1,100,0,1,10,101,0,0,1,10,83800,83800
1375026,2016,25,810,840,0,810,900,0,4,2,2,1,1,1,34,6,1,100,0,1,10,101,0,0,1,10,94000,94000
1375033,2016,25,3770,840,0,2400,2520,0,4,2,2,1,3,1,27,1,8,802,3,1,11,116,0,0,1,10,28000,56000
1375034,2016,25,3770,840,0,2400,2520,0,4,2,2,1,3,2,30,1,4,410,3,1,11,116,0,0,1,10,28000,56000
1375133,2016,25,810,840,0,210,240,0,4,2,2,3,1,2,71,4,4,400,2,1,0,2,0,0,3,30,9900,9900
1375152,2016,25,7570,840,0,90,250,0,4,2,2,3,3,2,27,6,1,100,0,1,6,65,0,0,3,30,7200,7200
1375155,2016,25,7570,840,0,650,710,0,4,2,2,1,1,2,32,6,8,801,0,1,8,81,0,0,1,10,3000,3000
1375167,2016,25,810,840,0,290,340,0,4,2,2,2,3,2,47,4,1,100,3,1,2,23,0,0,1,10,15900,15900
1375228,2016,25,930,840,0,2700,2873,0,4,2,2,1,2,1,58,1,1,100,0,1,11,116,0,0,1,10,200000,200000
1375229,2016,25,930,840,0,2700,2873,0,4,2,2,1,2,2,56,1,1,100,0,1,6,63,0,0,3,30,0,200000
1375230,2016,25,810,840,0,2300,2420,0,4,2,2,1,1,2,30,6,1,100,0,1,10,101,0,0,1,10,125090,125090
1375231,2016,25,810,840,0,2300,2420,0,4,2,2,1,1,2,32,6,1,100,0,1,10,101,0,0,1,10,60000,60000
1375365,2016,25,810,840,0,280,410,0,4,2,2,1,1,2,68,4,2,200,0,1,6,63,0,0,3,30,8800,8800
1375383,2016,25,810,840,0,2800,2850,0,4,2,2,1,4,1,46,1,1,100,3,1,10,101,0,0,3,30,7000,92000
1375384,2016,25,810,840,0,2800,2850,0,4,2,2,1,4,2,39,1,1,100,3,1,11,116,0,0,1,10,85000,92000
1375405,2016,25,810,840,0,1700,1730,0,4,2,2,1,1,1,28,6,1,100,0,1,10,101,0,0,1,10,50000,50000
1375415,2016,25,810,840,0,520,700,0,4,2,2,1,2,2,57,1,1,100,0,1,10,101,0,0,3,30,0,543000
1375416,2016,25,810,840,0,520,700,0,4,2,2,1,2,1,56,1,1,100,0,1,11,115,0,0,1,10,543000,543000
1375434,2016,25,810,840,0,870,870,0,4,2,2,2,3,2,46,4,7,700,3,1,10,101,0,0,1,10,8020,8020
1375435,2016,25,810,840,0,870,870,0,4,2,2,2,3,2,20,6,7,700,3,2,7,71,6,60,3,30,0,8020
1375440,2016,25,810,840,0,200,350,0,4,2,2,1,2,1,71,1,6,640,2,1,6,63,0,0,3,30,7400,116560
1375441,2016,25,810,840,0,200,350,0,4,2,2,1,2,2,68,1,6,640,2,1,2,22,0,0,1,10,109160,116560
1375468,2016,25,7570,840,0,780,780,0,4,2,2,3,1,1,78,5,1,100,0,1,5,50,0,0,3,30,14000,14000
1375484,2016,25,930,840,0,2500,2640,0,4,2,2,1,2,1,61,1,6,669,3,1,11,114,0,0,3,30,30000,30000
1375485,2016,25,930,840,0,2500,2640,0,4,2,2,1,2,2,54,1,6,669,3,1,11,114,0,0,2,20,0,30000
1375535,2016,25,810,840,0,2900,2970,0,4,2,2,1,1,1,25,6,1,100,0,1,10,101,0,0,1,10,96000,96000
1375536,2016,25,810,840,0,2900,2970,0,4,2,2,1,1,1,24,6,1,100,0,1,10,101,0,0,1,10,70250,70250
1375542,2016,25,810,840,0,1400,1500,0,4,2,2,1,1,1,25,6,1,100,1,1,10,101,0,0,1,10,20000,20000
1375554,2016,25,810,840,0,2500,2560,0,4,2,2,1,1,2,25,6,1,100,0,1,11,114,0,0,1,10,43500,43500
1375555,2016,25,810,840,0,2500,2560,0,4,2,2,1,1,2,25,6,1,100,0,1,10,101,0,0,1,10,50000,50000
1375559,2016,25,3770,840,0,720,720,0,4,2,2,1,4,2,34,2,1,100,0,1,3,30,0,0,1,10,27000,42000
1375620,2016,25,3770,840,0,1400,1500,0,4,2,2,1,2,2,23,6,1,100,0,1,10,101,0,0,1,10,50000,50000
1375621,2016,25,3770,840,0,1400,1500,0,4,2,2,1,2,1,24,6,1,100,0,1,10,101,0,0,2,20,30000,50000
1375674,2016,25,6670,840,0,430,500,0,4,2,2,1,1,2,22,6,1,100,0,2,7,71,7,70,1,10,13000,13000
1375726,2016,25,810,840,0,2500,2510,0,4,2,2,1,2,2,26,6,1,100,0,1,10,101,0,0,1,10,90000,90000
1375727,2016,25,810,840,0,2500,2510,0,4,2,2,1,2,1,25,6,1,100,0,1,10,101,0,0,1,10,65000,90000
1375728,2016,25,810,840,0,190,260,0,4,2,2,1,4,2,46,6,8,801,2,1,7,71,0,0,1,10,37000,65900
1375729,2016,25,810,840,0,190,260,0,4,2,2,1,4,1,25,1,8,801,0,1,10,101,0,0,1,10,25400,65900
1375730,2016,25,810,840,0,190,260,0,4,2,2,1,4,2,24,1,8,801,3,1,1,17,0,0,1,10,3500,65900
1375749,2016,25,810,840,0,1700,1920,0,4,2,2,1,4,2,50,6,2,200,3,1,6,63,0,0,1,10,4500,8830
1375750,2016,25,810,840,0,1700,1920,0,4,2,2,1,4,2,32,6,2,200,0,1,8,81,0,0,2,20,0,8830
1375751,2016,25,810,840,0,1700,1920,0,4,2,2,1,4,2,31,6,2,200,0,1,11,114,0,0,3,30,3000,8830
1375752,2016,25,810,840,0,1700,1920,0,4,2,2,1,4,2,26,6,2,200,0,1,6,65,0,0,2,20,1330,8830
1375793,2016,25,810,840,0,500,680,0,4,2,2,1,2,2,61,3,2,200,0,1,7,71,0,0,3,30,0,42000
1375794,2016,25,810,840,0,500,680,0,4,2,2,1,2,2,34,6,2,200,0,2,11,114,6,60,1,10,42000,42000
1375813,2016,25,930,840,0,100,140,0,4,2,2,1,2,2,39,1,1,100,0,1,11,116,0,0,1,10,65000,113000
1375814,2016,25,930,840,0,100,140,0,4,2,2,1,2,1,39,1,1,100,0,1,11,116,0,0,1,10,48000,113000
1375819,2016,25,810,840,0,1000,1140,0,4,2,2,1,3,2,39,4,2,200,0,1,7,71,0,0,1,10,8280,9680
1375820,2016,25,810,840,0,1000,1140,0,4,2,2,1,3,1,19,6,2,200,0,1,6,63,0,0,2,20,1400,9680
1375869,2016,25,810,840,0,1700,1770,0,4,2,2,1,1,2,33,6,1,100,0,1,11,114,0,0,1,10,40000,40000
1375870,2016,25,810,840,0,1700,1770,0,4,2,2,1,1,1,31,6,1,100,2,2,8,81,6,60,1,10,60000,60000
1375899,2016,25,810,840,0,880,1020,0,4,2,2,1,2,2,59,6,1,100,0,1,10,101,0,0,1,10,69000,69000
1375904,2016,25,810,840,0,1300,1430,0,4,2,2,1,1,1,36,6,1,100,2,1,10,101,0,0,1,10,115000,115000
1375961,2016,25,810,840,0,200,200,0,4,2,2,1,3,2,38,6,1,100,3,1,4,40,0,0,1,10,13000,17700
1375968,2016,25,810,840,0,910,980,0,4,2,1,1,1,2,90,6,2,200,0,1,3,30,0,0,3,30,23000,23000
1376021,2016,25,930,840,0,2100,2220,0,4,2,2,1,2,2,44,1,1,100,0,1,11,114,0,0,1,10,110000,140000
1376022,2016,25,930,840,0,2100,2220,0,4,2,2,1,2,1,47,1,1,100,0,1,10,101,0,0,2,20,30000,140000
1376025,2016,25,3770,840,0,630,770,0,4,2,2,1,1,2,20,6,1,100,0,2,7,71,6,60,1,10,24000,24000
1376026,2016,25,3770,840,0,630,770,0,4,2,2,1,1,2,20,6,1,100,0,2,7,71,6,60,1,10,8000,8000
