,key,counts
169,highly,1
227,green,1
226,lost,1
224,room,1
223,rec,1
221,jacuzzi,1
220,pool,1
219,amenities:,1
218,many,1
217,park,1
215,it's,1
214,visited,1
213,we've,1
211,friendliest,1
210,far,1
209,by,1
228,space,1
207,much,1
229,fur,1
231,also,1
254,immediately,1
252,unit,1
251,because,1
250,year,1
249,over,1
246,lived,1
245,who's,1
244,friend,1
243,office,1
238,helping,1
237,emails,1
236,night,1
235,late,1
234,numerous,1
233,responded,1
230,babies,1
204,making,1
203,be,1
201,yesterday,1
338,friendly,1
168,leaves,1
167,never,1
166,leader,1
165,caring,1
164,talented,1
163,such,1
162,lease,1
161,re,1
160,continue,1
159,will,1
158,employees,1
157,amongst,1
156,displays,1
155,needs,1
170,recommend,1
171,these,1
172,future,1
173,can,1
200,approval,1
199,got,1
198,possible,1
195,free,1
194,stress,1
187,attentive,1
186,informative,1
255,apartments,1
183,units,1
180,called,1
179,moment,1
178,from,1
177,gratitude,1
176,express,1
175,begin,1
174,not,1
181,information,1
154,facilities,1
256,considered,1
259,answer,1
318,etc,1
317,kids,1
316,amenities,1
315,half,1
314,didn't,1
312,maybe,1
311,going,1
310,accommodations,1
309,day,1
308,being,1
307,comfortable,1
306,basket,1
305,even,1
304,explained,1
303,answered,1
319,treated,1
302,whatever,1
320,respect,1
322,persons,1
337,neighbors,1
336,away,1
335,fix,1
334,maintenance,1
333,call,1
332,good,1
331,services,1
330,besides,1
329,view,1
328,trees,1
327,there,1
326,ago,1
325,week,1
324,family,1
323,met,1
321,nicest,1
301,available,1
299,feel,1
298,date,1
275,chance,1
274,took,1
273,place,1
272,yes,1
271,hookups,1
270,laundry,1
269,in-unit,1
268,well-maintained,1
267,itself,1
266,together,1
264,pull,1
263,able,1
262,how,1
261,impressed,1
260,i'm,1
276,which,1
277,don't,1
278,regret,1
279,lopez,1
297,looking,1
296,definitely,1
294,clean,1
293,area,1
292,surrounding,1
291,maintained,1
290,landscaping,1
258,through,1
288,renting,1
286,castaneda's,1
285,helped,1
284,approved,1
283,getting,1
282,needless,1
281,application,1
280,during,1
287,absolutely,1
153,top,1
339,enjoy,1
151,willing,1
76,detail,1
78,potential,1
80,4,1
81,years,1
152,stays,1
84,while,1
87,excellent,1
89,cares,1
90,about,1
91,what,1
74,give,1
92,need,1
95,done,1
97,requested,1
98,repairs-and-fix,1
101,them,1
102,finished,1
104,2,1
105,hours,1
106,environment,1
109,five,1
110,stars,1
94,he,1
73,me,1
72,let,1
71,service,1
9,wanted,1
12,agree,1
14,most,1
17,hard,1
18,working,1
20,professional,1
22,welcoming,1
24,extra,1
25,mile,1
32,juggling,1
37,now,1
38,but,1
40,makes,1
41,sure,1
43,problems,1
45,addressed,1
46,thanks,1
48,roommates,1
56,starting,1
57,feeling,1
61,look,1
65,appreciate,1
70,good-quality,1
111,check,1
112,out,1
83,change,1
130,an,1
144,efficient,1
126,or,1
127,concerns,1
147,keep,1
149,always,1
120,displayed,1
128,-michelle,1
150,smile,1
141,noticed,1
136,passion,1
135,dedication,1
138,co,1
113,guys,1
117,professionalism,1
116,level,1
115,high,1
132,bungalow,1
131,ambassador,1
114,love,1
134,brand,1
33,lot,2
35,work,2
36,right,2
123,gone,2
300,welcome,2
140,well,2
257,time,2
75,more,2
289,extremely,2
139,hope,2
50,moved,2
60,really,2
133,apts,2
62,forward,2
295,am,2
66,your,2
129,truly,2
124,any,2
248,complex,2
86,doing,2
122,i've,2
208,amazing,2
202,excited,2
212,community,2
108,quiet,2
107,safe,2
216,nice,2
2,read,2
118,leasing,2
5,reviews,2
222,gym,2
100,times,2
99,several,2
225,playground,2
313,come,2
196,as,2
232,property,2
121,when,2
143,super,2
55,already,2
242,bungalows,2
11,say,2
145,above,2
23,goes,2
88,job,2
189,step,2
190,way,2
146,beyond,2
192,whole,2
188,every,2
52,apartment,2
51,into,3
31,know,3
205,thank,3
240,first,3
58,like,3
96,quickly,3
93,get,3
63,living,3
64,here,3
79,been,3
197,easy,3
68,management,3
184,has,4
82,they,4
185,helpful,4
241,move,4
191,made,4
148,happy,4
247,at,4
182,one,4
119,had,4
1,just,4
265,everything,4
67,great,4
125,questions,4
85,new,5
59,home,5
49,have,5
15,she's,5
206,you,5
28,tenants,5
53,it,5
26,help,5
193,process,6
103,in,6
6,on,6
137,this,6
69,team,6
3,all,6
47,my,7
27,her,7
142,so,8
21,manager,8
239,us,8
253,was,8
42,our,9
44,are,10
19,very,10
16,a,10
7,michelle,11
13,with,13
54,is,14
30,we,14
77,for,14
39,she,14
34,of,15
0,i,17
10,to,24
29,,26
8,and,37
4,the,39
