,key,counts
173,then,3
489,like,3
490,new,3
491,since,3
337,utilities,3
495,events,3
391,problem,3
160,friends,3
255,quick,3
158,conversations,3
259,issues,3
263,recommended,3
269,needs,3
271,or,3
272,long,3
58,am,3
305,francisco,3
14,one,4
30,-,4
79,convenient,4
43,little,4
164,quickly,4
149,management,4
512,good,4
157,space,4
293,pleasant,4
141,this,4
533,year,4
329,while,4
323,how,4
408,best,4
385,cambridge,4
135,if,4
169,lease,4
486,working,4
315,thank,4
300,requests,4
433,i've,4
471,stayed,4
63,months,5
180,apartments,5
53,through,5
159,make,5
214,but,5
237,get,5
268,out,5
403,into,5
18,don't,5
5,much,5
112,also,5
313,be,5
131,comfortable,5
274,area,5
19,need,5
450,professional,5
142,leasing,5
338,included,5
40,work,5
210,up,5
22,about,6
244,cleaning,6
228,them,6
6,needed,6
41,there,6
70,responsive,6
213,not,6
23,looking,6
267,easy,6
109,find,6
143,option,6
127,process,6
84,well,6
162,amazing,6
111,kitchen,6
201,rooms,6
38,people,7
278,from,7
148,term,7
355,as,7
54,when,7
545,been,7
34,company,7
17,room,7
139,home,7
161,your,7
270,anyone,7
280,helpful,7
51,excellent,7
15,fully,7
163,housing,7
125,do,7
126,customer,7
65,would,7
153,living,8
11,can,8
136,stay,8
316,staff,8
258,any,8
261,has,8
147,short,8
50,nice,8
317,an,9
35,on,9
78,super,9
25,roommates,9
16,furnished,9
306,clara,9
110,everything,9
231,their,9
130,really,9
82,place,9
262,highly,10
308,were,10
138,experience,10
80,we,10
211,me,11
257,time,11
49,so,12
154,at,12
39,that,13
68,team,13
132,clean,13
77,are,13
9,boston,14
331,it,14
134,recommend,14
156,apartment,14
92,have,15
241,,15
236,all,16
166,had,18
7,service,21
26,they,22
218,was,23
10,you,23
28,very,24
3,great,24
193,my,25
1,is,26
96,of,27
24,for,30
0,placeme,42
8,in,45
61,with,46
55,i,46
2,a,56
20,to,71
33,the,89
4,and,115
