Gender,Race,Salary
male,Greater European,45150.95
male,Greater European,108769.84
male,Greater European,184683.62
male,Greater European,155302.51
male,Jewish,6876
male,Greater European,136810.92
male,Greater European,182645.32
male,Greater European,174881.65
male,Greater European,187311.56
male,Greater European,182896.06
male,Greater European,117412.04
male,Greater European,114603.29
male,Greater European,40595.05
male,Greater European,12606
male,Greater European,3588.69
male,Greater European,36322.44
male,Greater European,66141.39
male,Greater European,51433.36
male,Greater European,139390.6
male,Greater European,84.08
male,Greater European,30000
male,Greater European,97950.89
male,Jewish,148280.54
male,Greater European,36005.64
male,Greater European,10887
male,Greater European,37338.61
male,Greater European,8408
male,Jewish,60541.82
male,Greater European,131241.2
male,Greater European,43192.82
male,Greater European,147698.01
male,Greater European,3840
male,Greater European,167816.95
male,Greater European,2292
male,Greater European,196826.37
male,Greater European,259951.41
male,Jewish,4204
male,Greater European,94017.72
male,Greater European,37130.67
male,Greater European,133394.9
male,Greater European,104793.48
male,Greater European,165644.12
male,Jewish,236981.99
male,Greater European,128102.12
male,Greater European,48972.68
male,Greater European,304.6
male,Greater European,175861.41
male,Greater European,96313.93
male,Greater European,102982.81
male,Greater European,122782.25
male,Greater European,143065.85
male,Greater European,167922.07
male,Greater European,117657.89
male,Greater European,77412.71
male,Greater European,218512.6
male,Greater European,12606
male,Greater European,93273.3
male,Greater European,131965.89
male,Greater European,136581.54
male,Greater European,108500.62
male,Greater European,172889.73
male,Greater European,106382.08
male,Greater European,105213.61
male,Jewish,96517.4
male,Greater European,56851.73
male,Greater European,76225.14
male,Greater European,183924.61
male,Greater European,28687.76
male,Greater European,147681.24
male,Jewish,112614.36
male,Greater European,101899.72
male,Greater European,123924.21
male,Greater European,132166.06
male,Greater European,94232.79
male,Greater European,2292
male,Greater European,133471.05
male,Jewish,49075.48
male,Greater European,135500.3
male,Hispanic,145077.09
female,Greater European,4204
female,Hispanic,113532.54
male,Jewish,193833.61
male,Greater European,199959.09
male,Greater European,156017.17
male,Greater European,139253.21
male,Greater European,188707.68
male,Jewish,100770.89
male,Greater European,102731.74
female,Greater European,145380.88
male,Greater European,79965.7
male,Greater European,150104.08
male,Greater European,140465.12
male,Greater European,126680.67
male,Greater European,1260.6
female,Greater European,75714.37
male,Greater European,139596.25
male,Greater European,115976.35
male,Greater European,81886.26
male,Greater European,129159.45
male,Greater European,156007.82
male,Greater European,113958.6
female,Greater European,13980
male,Greater European,146412.01
male,Greater European,127361.35
male,Greater European,178914.67
male,Greater European,122743.89
male,Greater European,117755.77
male,Greater European,127134.32
male,Greater European,93656.9
male,Greater European,8408
male,Greater European,167611.04
female,Greater European,141476.1
male,East Asian,145592.8
male,Greater European,108334.84
male,Greater European,29578.32
male,Greater European,95350.07
male,Greater European,63849.84
male,Greater European,105556.28
male,Greater European,139706.49
male,Greater European,105751.6
male,Greater European,126202.53
male,Greater European,149067.76
male,Greater European,239065.1
male,Greater European,2292
male,Greater European,110610.12
male,Greater European,127539.7
male,Greater European,672.64
male,Greater European,104057.4
female,Greater European,140859.19
male,Greater European,89008.59
male,Greater European,3783.6
