Gender,Race,Salary
male,Greater European,3662.84
male,Greater European,2265.25
male,Greater European,52958.5
male,Greater European,133268.4
male,Greater European,114952.6
male,Greater European,171563.17
male,Hispanic,153653.85
male,Greater European,119575.01
female,Greater European,153279.86
male,Greater European,172393.67
male,Greater European,924.51
male,Greater European,102942.04
male,Greater European,144253.29
male,Greater European,164510.41
male,Greater European,163608.08
female,Greater European,143375.33
male,Greater European,229.2
male,Greater European,250086.87
male,Greater European,176767.08
male,Greater European,4204
female,Greater European,123212.61
male,Greater European,141534.57
male,Greater European,12606
male,Greater European,6876
male,Greater European,146940.99
male,Greater European,99952.41
male,Greater European,163924.08
male,Greater European,105754.54
male,Greater European,234331.52
male,Greater European,96826.02
male,Hispanic,186642.79
male,Greater African,114825.58
male,Jewish,96416.89
female,Greater European,117697.27
male,East Asian,90812.15
male,Greater European,156070.24
male,Greater European,112809.8
male,Greater European,147821.15
male,Greater European,184679.2
male,Greater European,99706.22
male,Greater European,124734.05
male,Greater European,112934.36
male,Greater European,167101.34
male,Greater European,43065.19
male,Greater European,130852.24
male,Jewish,166790.33
male,Jewish,196493.98
male,Greater European,154917.23
male,Greater European,3673.82
female,Greater European,104439.19
female,Greater European,168173.74
male,Greater European,132860.23
male,Greater European,51486.98
male,Jewish,163974.33
male,Greater European,152549.86
male,Greater European,134937.62
male,Greater European,168851.28
male,Greater European,160722.02
male,Greater European,105443.89
male,Greater European,100269.01
male,Greater European,81457.67
female,Greater European,148726.51
male,Greater European,140137.49
male,Greater European,154779.46
male,Greater European,120627.05
male,Greater European,245343.7
male,Greater European,121509.22
male,Greater European,35171.56
male,Greater European,189527.72
male,Greater European,106963.72
male,Greater European,177340.24
male,Jewish,81754.24
male,Greater European,167124.65
male,Greater European,107745.9
male,Greater European,37345.9
male,Greater European,67260.27
male,Greater African,164781.64
male,Greater European,99633.19
male,Greater European,678.83
male,Greater African,12606
male,Greater European,116330.33
male,Greater European,53141.48
male,Greater European,31053
male,East Asian,147306.89
male,Greater European,33500.12
male,Greater European,107132.1
female,Greater European,115054.36
male,Greater European,184857.35
male,Greater European,49220.57
male,Greater European,34783.41
male,Greater European,117853.43
male,Greater European,162632.15
male,Greater European,120218.13
male,Greater European,171131.95
male,Greater European,41887.25
male,Greater European,60999.61
male,Greater European,100836.07
male,Greater European,143592.34
male,Greater European,155786.77
male,Greater European,126132.99
male,Greater European,100069.2
male,Greater European,155371.93
male,Greater European,134061.69
male,Greater European,109991.34
male,Jewish,10888.82
male,Greater European,76876.13
male,Greater European,217877.75
male,Greater European,151372.6
male,Greater European,192576.42
female,Greater European,148752.35
male,East Asian,81947.45
male,Greater European,39647.19
male,Greater European,5414.09
male,Greater European,47210.35
female,Greater European,127194.64
male,Greater European,156393.74
male,Greater European,167382.63
male,Greater European,129009.59
male,Greater European,182884.07
male,Greater European,25847.74
male,Greater European,47665.64
male,Greater European,155667.6
male,Greater European,3783.6
male,Greater European,100219.76
male,Greater European,105067.61
male,Greater European,182691.96
male,Greater European,106487.98
male,Greater European,69421.09
male,Greater European,128526.84
male,Greater European,164656.18
male,Greater European,218197.21
male,Greater European,43346.93
male,Greater European,129216.82
male,Greater European,94468.82
male,Greater European,110132.96
male,Greater European,84227.62
male,Greater European,131067.51
male,Greater European,179935.62
male,Greater European,102106.12
male,Greater European,58089.68
male,Greater European,140166.23
male,Greater European,67894.95
male,Jewish,69440.34
male,Greater European,10887
male,Greater European,125032.96
male,Greater European,113123.84
male,Greater European,104219.73
male,Greater European,138657.13
male,Greater European,129784.18
male,Greater European,138262.34
female,Greater European,80079.75
male,Greater European,95019.14
male,Greater European,228055.24
male,Greater European,125287.55
male,Greater European,10887
male,Greater European,155457.67
male,Greater European,83248.14
male,Greater European,40553.72
male,Greater European,158493.27
male,Greater European,127978.79
male,Greater European,209235.85
male,Greater European,4204
male,Jewish,513.47
male,Greater European,840.8
male,Greater European,42858.2
female,Greater European,95374.22
male,Greater European,133342.78
female,Hispanic,88535.52
male,Greater European,39141.73
male,Greater European,169993.56
male,Greater European,53231.01
male,Greater European,1216.65
male,Indian Subcontinent,132306.27
male,Greater European,118535.96
male,Greater European,125393.46
female,Greater European,48775.73
male,Greater European,146344.99
male,Greater European,90104.76
male,Greater European,616
male,Greater European,87200.23
male,Greater European,263225.36
male,Greater European,8408
female,Greater European,152202.49
female,Greater European,57897.05
female,Greater European,68691.13
male,Greater European,202855.84
male,Greater European,72312.88
male,Greater European,136543.5
female,Greater European,105192.51
male,Greater European,94760.58
male,Greater European,887.52
male,Greater European,110546.77
male,Greater European,192216.54
male,Greater European,139827.36
male,Greater European,31424.9
male,Greater European,105536.67
male,Greater European,140310.51
male,Greater European,118185.75
male,Greater European,88737.66
male,Greater European,41183.49
male,Greater European,5730
male,Greater European,82699.52
male,Greater European,194832.63
male,Greater European,40182.84
male,Greater European,139556.96
male,Greater European,219669.84
male,Greater European,118675.89
male,Greater European,138121.32
male,Greater European,104819.33
male,Greater European,114623.77
female,Greater European,119246.53
male,Greater European,121570.52
male,Hispanic,87306.38
male,Greater European,162512.24
male,Greater European,190804.04
male,Hispanic,123016.46
male,Greater European,165872.64
male,Greater European,138364.97
male,Greater European,129990.16
male,Greater European,8573.21
male,Greater European,182608.56
female,Greater European,110593.53
male,Jewish,123198.74
male,Greater European,189421.79
male,Greater European,118402.03
female,Greater European,121008.42
male,Greater European,148723.15
male,Greater European,104854
male,Greater European,41374.1
male,Greater European,217234.43
female,Greater European,87310.36
male,Jewish,163865.7
male,Greater European,3783.6
male,Greater European,177243.07
female,Greater European,119781.85
male,Hispanic,6876
male,Greater European,12606
male,Greater European,81890.6
male,Greater European,181691.81
male,Greater European,127837.76
male,Greater European,161105.59
female,Greater European,135316.64
male,Greater European,150209.67
male,Greater European,152656.54
male,Greater European,111807.35
male,Greater European,144463.61
male,Greater European,5622.54
male,Greater European,100015.11
male,Greater European,17190.27
male,Greater European,183756.39
male,Hispanic,131808.22
male,Greater European,36358.35
male,Greater European,199204.85
male,Greater European,187316.16
male,Greater European,95975.05
male,Greater European,101052.28
male,Greater European,156584.33
male,Greater European,8408
female,Greater European,128947.56
male,Greater European,121644.69
male,Greater European,5075
male,Greater European,185286.66
male,Greater European,58342.32
male,Greater European,124539.05
male,Greater European,147477.28
male,Greater European,139429.2
male,Jewish,185194.53
male,Jewish,127609.53
male,Greater European,57556.39
male,Greater European,139659.75
male,Jewish,100242.37
male,Greater European,214231.63
male,Greater European,14649.54
male,Greater European,32407.72
male,Greater European,199742.71
male,Greater European,102175.89
male,Greater African,12293.03
male,Greater European,175478.62
male,Greater European,60995.22
male,Greater European,105581.68
male,Greater European,124744.71
male,Greater European,235859.17
male,Greater European,118867.24
male,Greater European,122068.82
male,Greater European,140107.15
male,Hispanic,136049.26
male,Greater European,3783.6
male,Jewish,38644.71
male,Greater European,59123.67
male,Greater European,181920.94
male,Jewish,149155.98
male,Greater European,138393.87
male,Greater European,161330.24
male,Greater European,112562.77
male,Greater European,29886.72
male,Greater European,206329.07
male,Jewish,124650.66
male,Greater European,168.16
male,Greater European,168791.42
male,Greater European,180915.07
male,Greater European,101896.95
male,Greater European,124110.74
male,Greater European,199970.49
male,Greater European,159126.01
male,Greater European,132450.13
male,Greater European,118528.35
male,Greater European,133637.81
male,Greater European,123690.21
male,Greater European,33060.33
male,Greater European,188892.57
male,Greater European,99844.81
male,Greater European,111614.28
male,Hispanic,54329.96
male,Greater European,34134.35
male,Greater European,141917.87
male,Greater European,10887
male,Greater European,58485.25
male,Greater European,86986.79
male,Greater European,182709.7
male,Greater European,2292
male,Greater European,212892.59
male,Greater European,226565.97
male,Greater European,31466.56
male,Greater European,33653.07
male,Greater European,81317.52
male,Greater European,3162.34
male,Jewish,135283.6
male,East Asian,173807.21
male,Greater European,115838.8
male,Greater European,133873.67
male,Greater European,132027.19
male,Greater European,90613.76
male,Greater European,81537.14
male,Greater European,179013.94
male,Greater European,153412.83
male,East Asian,294823.14
male,Greater European,152470.05
female,Greater European,142802.98
male,Greater European,88044.59
male,Hispanic,20367.13
male,Greater European,123895.15
male,Jewish,4204
male,Greater European,148719.53
male,Greater European,166459.72
male,Greater European,188333.27
male,Greater European,131794.76
male,Greater European,135255.41
male,Greater European,125372.77
male,Greater European,111046.53
male,Hispanic,177791.64
male,Greater European,37734.89
male,Greater European,163036.48
male,Greater European,121471.39
male,Hispanic,34168.91
male,Greater European,107339.86
male,Greater European,110508.55
male,Greater European,115176.25
female,Greater European,8408
male,Greater European,158617.76
male,Greater European,90200.65
male,Greater European,131725.58
female,Greater European,72087.87
male,Greater European,172974.01
male,Greater European,198622.43
male,Greater European,157944.39
female,Greater European,6299.56
male,Greater European,175880.56
male,Greater European,89309.58
male,Greater European,176975.74
male,Greater European,120356.1
male,Greater European,114.6
male,Greater European,120743.06
male,Greater European,137740.33
male,Greater European,206867.67
male,Jewish,94104.08
female,Greater European,164561.18
male,Greater European,10887
male,Greater European,115310.44
female,Greater European,165947.26
male,Greater European,156740.92
male,Greater European,117219.7
male,Greater European,90779.77
male,Greater European,112157.59
male,Hispanic,178431.14
male,Greater European,164769.24
male,Greater European,139263.88
male,Greater European,125909.12
male,Greater European,110115.43
male,Greater European,27192.86
male,Hispanic,91178.68
male,Greater European,149205.39
male,Greater European,89594.98
male,Greater European,79586.78
male,Greater European,57948.7
male,Greater European,119.04
male,Hispanic,143275.89
male,Hispanic,12606
male,Greater European,111826.83
male,Greater European,115714.25
male,Hispanic,135153.27
male,Jewish,125366.67
male,Greater European,135658.08
male,Greater European,137756.72
male,Greater European,26847.2
male,Greater European,22260.38
male,Jewish,840.8
male,Greater European,116953.93
female,Greater European,48706.48
male,Greater European,121618.98
male,Hispanic,10887
male,Greater European,137706.51
male,Greater European,146506.13
male,Jewish,113688.17
male,Greater European,35781.93
male,Greater European,177353.25
male,Greater European,144050.87
male,Greater European,118021.01
male,Greater European,108816.44
male,Greater European,148841.81
male,Jewish,120973.42
male,Jewish,117779.11
male,Greater European,8408
male,Greater European,45855.74
male,Greater European,2292
male,Greater European,199174.58
male,Greater European,137262.21
male,Greater European,181227.74
male,Greater European,143024.34
male,Greater European,10780
male,Greater European,123913.79
male,Greater European,152997.67
male,Greater European,122820.49
male,Greater European,168947.58
female,Greater European,27536.4
male,Greater European,99337.95
male,Greater European,25362.86
male,Greater European,110456.7
male,Greater European,80730.32
male,Greater European,154678.33
male,Greater European,115067.19
male,Greater European,106211.99
male,Greater European,155309.63
male,Greater European,6019.8
male,Greater European,156029.25
male,Jewish,49354.69
male,Greater European,210422.17
male,Greater European,201670.19
male,Hispanic,125013.09
male,Greater European,26124.58
male,Greater European,86925.42
male,Greater European,179266.11
male,Greater European,184872.07
male,Greater European,119962.25
female,Greater European,47952.44
male,Greater European,25952.93
male,Greater European,220877.17
female,Jewish,128889.99
male,Greater European,181977.19
male,Greater European,2292
male,East Asian,12.74
male,Greater European,154501.5
male,Greater European,24657.94
male,Greater European,12606
male,Greater European,134452.55
male,Jewish,128903.22
male,Greater European,128821.35
male,Greater European,114800.08
male,Greater European,180534.8
male,Greater European,102545.2
male,Greater European,118710.5
male,Greater European,224075.89
male,Jewish,127254.8
male,Greater European,141837.8
male,Greater European,93853.58
male,Greater European,68719.8
male,Greater European,67006.19
male,Greater European,180003.3
male,Jewish,152138.17
female,Greater European,60290.15
male,Greater European,135678.56
male,Greater European,139291.63
male,Greater European,64981.2
male,Greater European,101760.92
female,Greater European,76919.45
male,Greater European,129204.02
male,East Asian,51094.37
male,Greater European,113302.57
male,Greater European,225668.56
male,Hispanic,12606
male,Greater European,79897.43
male,Greater European,128007.7
male,Greater European,112329.62
female,Hispanic,21380.5
male,Greater European,131200.01
male,Greater European,157772.91
male,Greater European,8408
male,Greater European,840.8
female,Greater European,103287.01
male,Greater European,147626.07
male,Greater European,172250.35
male,Greater European,115300.5
male,Greater European,124823.47
female,Greater European,123208.02
male,Greater European,191915.17
female,Greater European,8408
male,Greater European,104610.52
male,Greater European,99426.39
male,Greater European,49359.33
male,Greater European,4040
male,Greater African,122687.98
male,Greater European,33668.83
male,Greater European,206075.72
male,Greater European,23177
female,Jewish,109410.8
male,Greater European,174964.36
male,Greater European,2364.91
male,Greater European,129815.45
male,Greater European,96855.29
male,Greater European,105591.2
male,Greater European,108452.39
male,Jewish,117261.47
male,Jewish,104590.92
male,Greater European,15200
male,Greater European,113883.82
male,Indian Subcontinent,13565.48
male,Greater European,116163.71
male,Jewish,110735.61
male,Greater European,87555.01
male,Greater European,8408
male,Greater European,111870.34
male,Greater European,186338.35
male,Greater European,10887
male,Greater European,123513.67
male,Greater European,115675.8
male,Hispanic,103590.13
male,Greater European,5730
male,Jewish,202970.54
male,Greater European,111569.47
male,Greater European,137332.79
male,Greater European,140185.26
male,Greater European,9702.65
male,Greater European,6136.42
male,Greater European,156883.83
male,Greater European,127124.28
male,Hispanic,156457.69
male,Greater European,72177.4
male,Greater European,223910.13
male,Greater European,3440
male,Greater European,149552.63
male,Greater European,138203.21
male,Greater European,90170.53
male,Greater European,105842.37
male,Greater European,98358.04
male,Greater African,103217.77
male,Hispanic,8408
male,Greater European,261222.76
male,Greater European,160312.76
male,Greater European,133446.27
female,Greater European,120707.13
male,Greater European,109714.96
male,Greater European,119554.65
male,Hispanic,91257.36
male,Jewish,79907.12
male,Greater European,139799.12
male,Greater European,132037.86
male,Greater European,215824.43
male,Greater European,144587.87
male,Greater European,120393.78
male,Greater European,64235.12
male,Greater European,175463.92
male,Greater European,100240.2
male,Greater European,170741.43
male,Greater European,157985.87
male,Greater European,1920
male,Jewish,10887
male,Greater European,113298.64
male,Greater European,168987.42
male,Greater European,135732.1
male,Greater European,185617.32
female,Hispanic,6876
male,Greater European,159873.92
female,Greater European,138309.27
male,Greater European,116625.56
male,Greater European,96457.94
male,Greater European,152004.46
male,Greater European,88569
male,Greater European,159473.44
male,Greater European,94040.92
male,Greater European,184625.07
male,Greater European,163771.88
male,Greater European,31644.93
male,Greater European,94168.27
female,Jewish,80963.31
male,Greater European,23578
male,Greater European,198890.14
male,Greater European,152122.71
male,Jewish,840.8
male,Greater European,116330.31
male,Greater European,91225.07
male,Jewish,155470.45
male,Greater European,135440.12
male,Greater European,44451.76
female,Greater European,127919.77
male,Greater European,82343.12
male,Greater European,102193.71
male,Jewish,29131.33
male,Greater European,41363.34
male,Greater European,4204
male,Greater European,131161.79
male,Greater European,84565.57
male,Greater European,145151.75
male,Greater European,129951.53
male,Greater European,10747.56
male,Greater European,124544.73
male,Greater European,152839.76
male,Greater European,144138.92
female,Greater European,181939.73
male,Greater European,180891.35
male,Greater European,7360
male,Greater European,59478.44
male,Greater European,199451.65
male,Greater European,111924.36
female,Greater European,34278.95
male,Greater European,132753.86
male,Greater European,149907.06
male,Greater European,136898.24
male,Greater European,58306.13
male,Greater European,143156.43
male,Greater European,57671.91
male,Greater European,147393.94
male,Greater European,156118.17
male,Greater European,213695.39
male,Greater European,210146.27
male,Jewish,53773.02
male,Jewish,10887
male,Greater European,32751.23
male,Greater European,101774.99
male,Greater European,279048.56
male,Greater European,120118.23
male,Greater European,150431.7
male,Greater European,59542.34
male,Greater European,173495.2
male,Greater European,93889.53
male,Greater European,97286.35
male,Greater European,144184.16
male,Greater European,135491.49
male,Greater European,248599.2
female,Greater European,50475.17
male,Greater European,43339.39
male,Greater European,12606
male,Greater European,137009.03
female,Greater European,129596.22
male,Greater European,151005.36
male,Hispanic,37245.27
male,Greater European,212416.19
male,Greater European,113330.91
male,Greater European,238385.36
male,Greater European,15904.54
male,Greater European,116576.75
male,Greater European,129078.16
male,Greater European,131193.57
male,Greater European,123322.9
male,Greater European,134227.26
male,Greater European,78545.07
male,Greater European,124241.65
male,Hispanic,178550.75
male,Greater European,132401.03
male,Greater European,109513.18
male,Greater European,134113.92
male,Greater European,4204
male,Greater European,104559.95
male,Hispanic,78322.01
male,Greater European,23035.02
male,Greater European,96980.57
male,Greater European,172718.59
male,Greater European,134510.3
female,Hispanic,41043.22
male,Jewish,66074.6
male,Greater European,30428.28
female,Greater European,17884.49
male,Greater European,83418.29
male,Greater European,92668.24
female,Greater European,88923.72
male,Greater European,95145.73
male,Jewish,38164.53
male,Greater European,126224.2
male,Hispanic,113307.86
male,Jewish,150198.39
male,Hispanic,8408
male,Greater European,206767.96
male,Jewish,68996.13
male,Greater European,132669.01
male,Greater European,124723.59
male,East Asian,49189.5
male,Greater European,81370.83
male,Greater European,90985.69
male,Greater European,150816.61
male,Greater European,150564.24
male,Greater European,94360.32
male,Greater European,114937.95
female,Greater European,1008.96
male,Greater European,99740.36
male,Greater European,75812.64
male,Greater European,144872.86
male,Jewish,107058.87
male,Greater European,76645.57
male,Greater European,81280
female,Greater European,132056.02
male,Greater European,138789.3
male,Greater European,187248.14
male,Greater European,59772.34
male,Greater European,117702.34
male,Greater European,121946.28
male,Greater European,127762.74
male,Greater European,108968.61
male,Jewish,252.24
male,Greater European,142996.03
male,Greater European,10887
male,Greater European,126346.85
male,Greater European,207572.84
male,Greater European,19513.11
male,Greater European,147623.94
male,Greater European,111047.32
male,Greater European,211824.79
male,Greater European,99257.41
male,Greater European,134614.56
male,Greater European,3783.6
male,Greater European,189706.34
male,Greater European,84261.79
male,Jewish,84800.04
male,Greater European,13900
male,Jewish,89512.51
male,Greater European,127507.59
male,Greater European,154785.55
male,Greater European,152905.89
male,Greater European,8408
male,Hispanic,12606
male,Greater European,168214.1
male,Greater European,104452.32
male,Indian Subcontinent,118392.19
male,Greater European,164114.19
male,Greater European,23955.37
female,Greater European,118589.08
male,Greater European,142142.36
male,Greater European,93367.42
male,Hispanic,106211.75
male,Greater European,152631.84
male,Greater European,5730
male,Greater European,105954.87
male,Hispanic,114108.65
male,Greater European,155973.18
male,Greater European,144862.2
male,Greater European,186569.08
male,Hispanic,96150.85
male,Greater European,144056.82
male,Greater European,68737.22
female,Greater European,146134.05
male,Greater European,167032.28
male,Greater European,118889.89
male,Greater European,92164.49
male,Greater European,115909.08
male,Greater European,840.8
male,Greater European,144140.92
male,Hispanic,55710.67
female,Greater European,117164.65
male,Greater European,205124.5
male,Hispanic,159160.87
male,Greater European,125604.09
male,Greater European,91844.99
male,Greater European,191551.3
male,Greater European,92041.76
male,Greater European,12606
male,Greater European,229689.57
male,Greater European,254024.74
male,Greater European,2292
male,Greater European,79019.56
male,Greater European,150197.91
female,Greater European,37826.67
female,Greater European,21383.72
male,Greater European,130680.19
male,Greater European,32543.99
male,Greater European,98239.76
male,Greater European,109181
male,Greater European,124548.45
male,Greater European,99485.41
male,Hispanic,103054.49
male,Greater European,18741.95
male,Greater European,12171.16
male,Greater European,36230
male,Greater European,97275.78
male,Hispanic,3783.6
male,Greater European,110055.67
male,Greater European,184363.39
male,Greater European,48064.22
male,Greater European,194581.73
male,Greater European,247151.96
male,Greater European,152343.81
male,Hispanic,150911.77
male,Greater European,47631.18
male,Hispanic,20738.12
male,Greater European,12606
male,Greater European,99232.56
male,Greater European,166534.35
male,Greater African,55370.75
male,Greater European,92391.75
male,Jewish,101739.45
male,Hispanic,106980.25
male,Jewish,84250.23
male,Greater European,160194.46
male,Jewish,166502.82
female,Greater European,122270.75
male,Greater European,1604.4
male,Greater European,116562.92
male,Greater European,136298.24
male,Greater European,202594.55
male,Greater European,169953.3
male,Greater European,153416.43
male,Greater European,144265.32
male,Greater European,132485.64
male,Greater African,161737.09
male,Greater European,121967.98
male,Greater European,18694.5
male,Greater European,62129.22
male,Greater European,144369.72
male,Greater European,45704.28
male,Greater European,154645.64
male,Greater European,115592.9
male,Jewish,32458.16
male,Greater European,154566.65
male,Greater European,137197.03
male,Greater European,180990
male,Greater European,175492.51
male,Greater European,161354.97
male,Greater European,161260.61
male,Hispanic,70818.42
male,Greater European,185905.17
male,Greater European,126968.01
male,Greater European,118642.07
male,Greater European,140690.73
male,Greater European,121667.27
male,Greater European,184367.63
male,Greater European,135501.38
male,Greater European,184706.02
male,Jewish,191304.09
male,Greater European,170893.54
male,Greater European,229.2
male,Greater European,171777.73
male,Greater European,170670.14
male,Greater European,152719.82
male,Greater European,138031.47
male,Greater European,196279.33
male,Greater European,44582.6
male,Greater European,106011.1
male,Greater European,149667.29
male,Hispanic,34647.33
male,Greater European,137376.95
male,Greater European,142598.82
female,Greater European,72661.43
male,Jewish,129132.14
male,Greater European,68016.29
male,Greater European,148823.26
male,Greater European,67433.05
male,Greater European,121948.66
male,Greater European,140235.13
male,Greater European,79160.1
male,Greater European,19611.24
male,Greater European,96648.89
male,Greater European,155213.51
male,Greater European,81432.52
male,Greater European,132761.98
male,Greater European,117495.93
male,Greater European,161014.75
male,Greater European,118964.32
male,Greater European,129626.82
male,Greater European,132719.55
male,Greater European,192277.84
male,Greater European,200172.02
male,Greater European,126171.75
male,Greater European,145378.53
male,Jewish,216410.68
male,Greater European,156397.53
male,Greater European,8408
male,Greater European,242940.58
male,Greater European,144029.12
male,Jewish,39152.15
male,Greater European,107871.23
male,Greater European,111552.77
male,Greater European,5730
male,Greater European,116461.33
female,Greater European,82493.63
male,Greater European,130649.54
male,Greater European,74918.3
male,Hispanic,125969.74
male,Greater European,4504.58
male,Greater European,140105.1
female,Greater European,169614.89
male,Greater European,176648.56
male,Greater European,24079.93
male,Greater European,110598.55
male,Greater European,30081.06
female,Greater European,135375.42
male,Greater European,168818.11
male,Greater European,107865.08
female,Greater European,139451.25
male,Greater African,103061.09
male,Greater African,148513.08
female,Hispanic,126809.28
male,Greater European,12606
male,Greater European,148009.18
male,Greater European,2292
male,Greater European,3515.28
male,Jewish,133721.46
male,Greater European,38665.07
female,Hispanic,128254.84
male,Greater European,174038.3
male,Greater European,66950.2
male,Greater European,150262.4
male,Greater European,60966.32
female,Greater European,136202.81
male,Greater European,248406.93
male,Greater European,19088
male,Greater European,105993.35
male,Greater European,99913.9
male,Greater European,49818.34
male,Greater European,5407.06
male,Greater European,109428.38
male,Greater European,28841.89
male,Greater European,111630.71
male,Greater European,55100
male,Greater European,151224.95
male,Greater European,10887
male,Greater European,93465.18
male,Greater European,112414.16
female,Greater European,114174
male,Greater European,193945.35
male,Greater European,160775.54
male,Greater European,93050.67
male,Greater European,166315.07
male,Greater European,127793.47
male,Greater European,144889.28
male,Hispanic,21069.67
female,Greater European,5730
male,Greater European,10901.7
male,Greater European,75874.26
male,Greater European,42220.75
male,Greater European,86001.22
male,Greater European,168108.88
male,Greater European,87249.2
male,Greater European,122474.18
male,Greater European,14648.03
male,Greater European,86167.54
male,Greater European,119911.28
male,Greater European,197066.68
male,Greater European,200358.31
male,Greater European,184660.83
female,Greater European,4877.52
male,Greater European,168525.24
male,Greater European,125125.26
male,Greater European,179408.42
male,Greater European,160582.55
male,Greater European,131713.82
male,Greater European,255813.68
male,Greater European,95303.78
male,Greater European,111872.73
male,Greater European,171698.57
male,Greater European,111623.78
male,Greater European,23909.4
male,Greater European,76128.56
female,Hispanic,52455.98
male,Greater European,143832.5
male,Greater European,142707.56
male,Greater European,168376.26
male,Greater European,92199.47
male,Greater European,150834.16
male,Jewish,4204
male,Greater European,100945.43
male,Greater European,153015.11
male,Greater European,68316.65
male,Greater European,128578.26
male,Greater European,65204.15
male,Greater European,163463.39
male,Hispanic,121536.65
male,Greater European,197081.03
male,Hispanic,120484.75
male,Greater European,79504.1
male,Greater European,137433.71
male,Greater European,112241.1
male,Greater European,119387.76
male,Greater European,152413.95
male,Greater European,186369.68
male,East Asian,181549.75
male,Greater European,43421.09
male,Greater European,143460.14
male,Greater European,143742.04
male,Greater European,153748.2
male,Greater European,119879.82
male,Greater European,129975.74
male,Greater European,131133.27
male,Greater European,5888
male,Greater European,140875.23
male,Greater European,171636.46
male,Greater European,154379.14
male,Greater European,83686.35
male,Hispanic,119.04
male,Greater European,99605.21
male,Greater European,106501.13
male,Greater European,129927.29
male,Greater European,158845.38
male,Greater European,102146.68
male,Greater European,176879.7
male,Greater European,164148.84
male,Greater European,124131.56
male,Greater European,38168.19
male,Greater European,104646.19
male,Greater European,145419.81
male,Greater European,149134.02
male,Greater European,125066.54
male,Hispanic,137093.18
male,Greater European,180721.4
male,Greater European,148697.55
male,Greater European,133843.61
female,Greater European,139716.86
male,East Asian,201130.31
female,Greater European,138025.19
male,Greater European,145151.54
male,Greater European,117247.31
male,Greater European,49020.55
male,Greater European,106302.47
male,Greater European,3437.12
male,Greater European,99674.66
male,Greater European,95756.29
male,Greater European,159069.64
male,Greater European,140102.26
male,Greater European,26312.21
male,Greater European,130396.35
male,Jewish,151429.96
male,Greater European,92913.52
female,Greater European,138339.55
female,Greater European,93846.72
male,Greater European,115222.15
male,Greater European,16921.74
male,Greater European,111388.23
male,East Asian,108234.53
male,Hispanic,62097.25
